,LL,Curvature,Curvature of Space,Sigma,Dimension,Subject,Domain
0,-0.6765708741447937,-0.5,0.25,1.0,2,BL,texture
1,-0.6745745542292046,-0.4,0.16000000000000003,1.0,2,BL,texture
2,-0.6722769109992103,-0.30000000000000004,0.09000000000000002,1.0,2,BL,texture
3,-0.6701322270330116,-0.2,0.04000000000000001,1.0,2,BL,texture
4,-0.6685955759585409,-0.1,0.010000000000000002,1.0,2,BL,texture
5,-0.6680624075575932,0.0,0.0,1.0,2,BL,texture
6,-0.6657638042244071,0.1,0.010000000000000002,1.0,2,BL,texture
7,-0.6562828688022107,0.2,0.04000000000000001,1.0,2,BL,texture
8,-0.6459718838822094,0.30000000000000004,0.09000000000000002,1.0,2,BL,texture
9,-0.6680548803659551,0.4,0.16000000000000003,1.0,2,BL,texture
10,-0.6954759650027164,0.5,0.25,1.0,2,BL,texture
0,-0.6745225864850328,-0.5,0.25,1.0,2,BL,texture
1,-0.6701077645603796,-0.4,0.16000000000000003,1.0,2,BL,texture
2,-0.6668936894260841,-0.30000000000000004,0.09000000000000002,1.0,2,BL,texture
3,-0.6640839109328552,-0.2,0.04000000000000001,1.0,2,BL,texture
4,-0.6622001155731541,-0.1,0.010000000000000002,1.0,2,BL,texture
5,-0.6615367497448279,0.0,0.0,1.0,2,BL,texture
6,-0.6587371957626802,0.1,0.010000000000000002,1.0,2,BL,texture
7,-0.6473472494244362,0.2,0.04000000000000001,1.0,2,BL,texture
8,-0.6378393251924798,0.30000000000000004,0.09000000000000002,1.0,2,BL,texture
9,-0.6615571636831677,0.4,0.16000000000000003,1.0,2,BL,texture
10,-0.6898126193894369,0.5,0.25,1.0,2,BL,texture
