,LL,Curvature,Curvature of Space,Sigma,Dimension,Subject,Domain
0,-0.790736700928565,-5.0,25.0,1.0,2,JF,texture
1,-0.7660777055723346,-4.0,16.0,1.0,2,JF,texture
2,-0.7327501436713322,-3.0,9.0,1.0,2,JF,texture
3,-0.6871870048763136,-2.0,4.0,1.0,2,JF,texture
4,-0.6379086893866407,-1.0,1.0,1.0,2,JF,texture
5,-0.6349901933725003,-0.5,0.25,1.0,2,JF,texture
6,-0.6483912033220056,0.0,0.0,1.0,2,JF,texture
7,-0.732299290204891,0.5,0.25,1.0,2,JF,texture
8,-0.823180942710774,1.0,1.0,1.0,2,JF,texture
9,-0.8978095134404099,2.0,4.0,1.0,2,JF,texture
10,-0.9263081558820333,3.0,9.0,1.0,2,JF,texture
11,-0.9408739848125367,4.0,16.0,1.0,2,JF,texture
12,-0.9525868156821142,5.0,25.0,1.0,2,JF,texture
0,-0.7889013351704238,-5.0,25.0,1.0,2,JF,texture
1,-0.764030844730723,-4.0,16.0,1.0,2,JF,texture
2,-0.7306272168441643,-3.0,9.0,1.0,2,JF,texture
3,-0.6846871180791861,-2.0,4.0,1.0,2,JF,texture
4,-0.6336480436408993,-1.0,1.0,1.0,2,JF,texture
5,-0.6296904466707289,-0.5,0.25,1.0,2,JF,texture
6,-0.6346284532577325,0.0,0.0,1.0,2,JF,texture
7,-0.7291949985600852,0.5,0.25,1.0,2,JF,texture
8,-0.822794842161195,1.0,1.0,1.0,2,JF,texture
9,-0.8977709464036657,2.0,4.0,1.0,2,JF,texture
10,-0.9255650757484344,3.0,9.0,1.0,2,JF,texture
11,-0.9423119887473099,4.0,16.0,1.0,2,JF,texture
12,-0.9517406291661022,5.0,25.0,1.0,2,JF,texture
