,LL,Curvature,Curvature of Space,Sigma,Dimension,Subject,Domain
0,-0.5899465180494003,-0.5,0.25,1.0,2,MC,texture
1,-0.5901903343190142,-0.4,0.16000000000000003,1.0,2,MC,texture
2,-0.5905203314681989,-0.30000000000000004,0.09000000000000002,1.0,2,MC,texture
3,-0.5907869453231807,-0.2,0.04000000000000001,1.0,2,MC,texture
4,-0.5912568488372263,-0.1,0.010000000000000002,1.0,2,MC,texture
5,-0.5914141250309353,0.0,0.0,1.0,2,MC,texture
6,-0.5924234323151464,0.1,0.010000000000000002,1.0,2,MC,texture
7,-0.5972317529453587,0.2,0.04000000000000001,1.0,2,MC,texture
8,-0.6077140584032774,0.30000000000000004,0.09000000000000002,1.0,2,MC,texture
9,-0.6264489023616501,0.4,0.16000000000000003,1.0,2,MC,texture
10,-0.6546684468845387,0.5,0.25,1.0,2,MC,texture
0,-0.5911376369580544,-0.5,0.25,1.0,2,MC,texture
1,-0.5914067035601002,-0.4,0.16000000000000003,1.0,2,MC,texture
2,-0.591471965964766,-0.30000000000000004,0.09000000000000002,1.0,2,MC,texture
3,-0.5916484900292062,-0.2,0.04000000000000001,1.0,2,MC,texture
4,-0.5916725359530759,-0.1,0.010000000000000002,1.0,2,MC,texture
5,-0.5917989113444955,0.0,0.0,1.0,2,MC,texture
6,-0.5927119820011382,0.1,0.010000000000000002,1.0,2,MC,texture
7,-0.5960199618383337,0.2,0.04000000000000001,1.0,2,MC,texture
8,-0.6056497289652584,0.30000000000000004,0.09000000000000002,1.0,2,MC,texture
9,-0.6311625554597764,0.4,0.16000000000000003,1.0,2,MC,texture
10,-0.6555297612795097,0.5,0.25,1.0,2,MC,texture
