,LL,Curvature,Curvature of Space,Sigma,Dimension,Subject,Domain
0,-0.6769124447595035,-0.5,0.25,1.0,2,SA,texture
1,-0.6674712969463807,-0.4,0.16000000000000003,1.0,2,SA,texture
2,-0.6773420525502003,-0.30000000000000004,0.09000000000000002,1.0,2,SA,texture
3,-0.6773178345826859,-0.2,0.04000000000000001,1.0,2,SA,texture
4,-0.6683547034527396,-0.1,0.010000000000000002,1.0,2,SA,texture
5,-0.677433055980707,0.0,0.0,1.0,2,SA,texture
6,-0.6689490737918645,0.1,0.010000000000000002,1.0,2,SA,texture
7,-0.6786998238169469,0.2,0.04000000000000001,1.0,2,SA,texture
8,-0.6634857089840421,0.30000000000000004,0.09000000000000002,1.0,2,SA,texture
9,-0.6712502690666674,0.4,0.16000000000000003,1.0,2,SA,texture
10,-0.6904826159025521,0.5,0.25,1.0,2,SA,texture
0,-0.6636045962517757,-0.5,0.25,1.0,2,SA,texture
1,-0.6640454945528043,-0.4,0.16000000000000003,1.0,2,SA,texture
2,-0.665098820104231,-0.30000000000000004,0.09000000000000002,1.0,2,SA,texture
3,-0.665386953285982,-0.2,0.04000000000000001,1.0,2,SA,texture
4,-0.6799282815337271,-0.1,0.010000000000000002,1.0,2,SA,texture
5,-0.6731090979583978,0.0,0.0,1.0,2,SA,texture
6,-0.6664864345639048,0.1,0.010000000000000002,1.0,2,SA,texture
7,-0.6676671002505657,0.2,0.04000000000000001,1.0,2,SA,texture
8,-0.6594042898008112,0.30000000000000004,0.09000000000000002,1.0,2,SA,texture
9,-0.6683446636211176,0.4,0.16000000000000003,1.0,2,SA,texture
10,-0.6877586411426105,0.5,0.25,1.0,2,SA,texture
