,LL,Curvature,Curvature of Space,Sigma,Dimension,Subject,Domain
0,-0.6179020195338162,-0.5,0.25,1.0,2,SJ,texture
1,-0.6173271016750471,-0.4,0.16000000000000003,1.0,2,SJ,texture
2,-0.6169845509001071,-0.30000000000000004,0.09000000000000002,1.0,2,SJ,texture
3,-0.6164556359965103,-0.2,0.04000000000000001,1.0,2,SJ,texture
4,-0.6150298229092744,-0.1,0.010000000000000002,1.0,2,SJ,texture
5,-0.6143632141751427,0.0,0.0,1.0,2,SJ,texture
6,-0.610585823883826,0.1,0.010000000000000002,1.0,2,SJ,texture
7,-0.5863334022531647,0.2,0.04000000000000001,1.0,2,SJ,texture
8,-0.5919082321519531,0.30000000000000004,0.09000000000000002,1.0,2,SJ,texture
9,-0.6261321843958082,0.4,0.16000000000000003,1.0,2,SJ,texture
10,-0.6604187444400494,0.5,0.25,1.0,2,SJ,texture
0,-0.6218242844721062,-0.5,0.25,1.0,2,SJ,texture
1,-0.6217521207234328,-0.4,0.16000000000000003,1.0,2,SJ,texture
2,-0.62147765071972,-0.30000000000000004,0.09000000000000002,1.0,2,SJ,texture
3,-0.6202503951114609,-0.2,0.04000000000000001,1.0,2,SJ,texture
4,-0.6185720059062074,-0.1,0.010000000000000002,1.0,2,SJ,texture
5,-0.6178727127968688,0.0,0.0,1.0,2,SJ,texture
6,-0.6142186436446576,0.1,0.010000000000000002,1.0,2,SJ,texture
7,-0.5896430523307027,0.2,0.04000000000000001,1.0,2,SJ,texture
8,-0.5936716413484321,0.30000000000000004,0.09000000000000002,1.0,2,SJ,texture
9,-0.6274521857854441,0.4,0.16000000000000003,1.0,2,SJ,texture
10,-0.6614670110833856,0.5,0.25,1.0,2,SJ,texture
