,LL,Curvature,Curvature of Space,Sigma,Dimension,Subject,Domain
0,-0.5933815233293244,-0.5,0.25,1.0,2,YCL,texture
1,-0.5933494994645272,-0.4,0.16000000000000003,1.0,2,YCL,texture
2,-0.592669923426064,-0.30000000000000004,0.09000000000000002,1.0,2,YCL,texture
3,-0.591669860082495,-0.2,0.04000000000000001,1.0,2,YCL,texture
4,-0.5909855968429161,-0.1,0.010000000000000002,1.0,2,YCL,texture
5,-0.5906302925970002,0.0,0.0,1.0,2,YCL,texture
6,-0.589622599050116,0.1,0.010000000000000002,1.0,2,YCL,texture
7,-0.5653426532732307,0.2,0.04000000000000001,1.0,2,YCL,texture
8,-0.580093058557325,0.30000000000000004,0.09000000000000002,1.0,2,YCL,texture
9,-0.6166592549134406,0.4,0.16000000000000003,1.0,2,YCL,texture
10,-0.652056483701521,0.5,0.25,1.0,2,YCL,texture
0,-0.5888691350100461,-0.5,0.25,1.0,2,YCL,texture
1,-0.5885083161588848,-0.4,0.16000000000000003,1.0,2,YCL,texture
2,-0.5876318507179411,-0.30000000000000004,0.09000000000000002,1.0,2,YCL,texture
3,-0.5865797717157978,-0.2,0.04000000000000001,1.0,2,YCL,texture
4,-0.5858426114518099,-0.1,0.010000000000000002,1.0,2,YCL,texture
5,-0.5855932078622635,0.0,0.0,1.0,2,YCL,texture
6,-0.5844447533275581,0.1,0.010000000000000002,1.0,2,YCL,texture
7,-0.5627623407481223,0.2,0.04000000000000001,1.0,2,YCL,texture
8,-0.577069644393426,0.30000000000000004,0.09000000000000002,1.0,2,YCL,texture
9,-0.6141687983060016,0.4,0.16000000000000003,1.0,2,YCL,texture
10,-0.6502294683419025,0.5,0.25,1.0,2,YCL,texture
