ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
image01,image18,image36,image02,image10,image14,image19,image31,image06
image01,image21,image29,image20,image35,image37,image36,image24,image06
image01,image21,image34,image26,image03,image35,image08,image07,image15
image01,image08,image04,image17,image25,image03,image11,image12,image05
image01,image25,image27,image28,image11,image22,image13,image32,image16
image01,image33,image23,image02,image16,image18,image30,image09,image22
image02,image10,image27,image06,image30,image14,image23,image35,image07
image02,image22,image20,image35,image05,image31,image23,image26,image15
image02,image17,image09,image16,image12,image31,image28,image33,image26
image02,image25,image19,image34,image09,image12,image18,image13,image24
image02,image08,image04,image03,image25,image36,image21,image18,image11
image02,image21,image32,image30,image01,image06,image36,image29,image37
image03,image36,image32,image10,image14,image30,image11,image23,image04
image03,image10,image13,image12,image20,image08,image04,image07,image34
image03,image27,image24,image28,image08,image31,image26,image07,image29
image03,image29,image17,image26,image21,image35,image18,image09,image01
image03,image33,image35,image15,image02,image09,image16,image37,image25
image03,image05,image16,image02,image30,image06,image19,image11,image22
image04,image07,image29,image37,image12,image09,image19,image15,image27
