,Domain,Subject,LL,Model,Best LL
0,image,MC,-0.5023650412330987,Average,-0.14661492296140552
1,image,MC,-0.5931151068137299,n-1,-0.14661492296140552
2,image,BL,-0.7739931598361894,Average,-0.38278980619711295
3,image,BL,-1.1900207201452173,n-1,-0.38278980619711295
4,image,EFV,-0.8811160710848545,Average,-0.370850929724169
5,image,EFV,-1.7753721166311949,n-1,-0.370850929724169
6,image,SJ,-0.5846260621529884,Average,-0.18535111354651854
7,image,SJ,-0.917221548840447,n-1,-0.18535111354651854
8,image,SAW,-0.5433897496608154,Average,-0.17440847239103416
9,image,SAW,-0.7136816994003595,n-1,-0.17440847239103416
10,image,YCL,-0.5493742737336369,Average,-0.1750525801834912
11,image,YCL,-0.7393936329597378,n-1,-0.1750525801834912
12,image,SA,-0.9223735633203722,Average,-0.5052249396678933
13,image,SA,-2.0684546527182044,n-1,-0.5052249396678933
14,image,NK,-0.7369327960630728,Average,-0.45035821824920724
15,image,NK,-1.434019907870521,n-1,-0.45035821824920724
