,Domain,Subject,LL,Model,Best LL
0,intermediate_object,MC,-0.5786615876594242,Average,-0.20200039392756008
1,intermediate_object,MC,-0.7618382191505392,n-1,-0.20200039392756008
2,intermediate_object,BL,-0.7961697608362783,Average,-0.4115847029684844
3,intermediate_object,BL,-1.3228307891770978,n-1,-0.4115847029684844
4,intermediate_object,EFV,-0.8418946696251689,Average,-0.40612750742215026
5,intermediate_object,EFV,-1.4317048670526522,n-1,-0.40612750742215026
6,intermediate_object,SJ,-0.6457725168953098,Average,-0.264213276777972
7,intermediate_object,SJ,-1.0032551551130466,n-1,-0.264213276777972
8,intermediate_object,SAW,-0.6067501766266329,Average,-0.18210174682600913
9,intermediate_object,SAW,-0.819919093180725,n-1,-0.18210174682600913
10,intermediate_object,YCL,-0.6358974246507302,Average,-0.20680394294734658
11,intermediate_object,YCL,-0.9212036178717858,n-1,-0.20680394294734658
12,intermediate_object,SA,-0.8794230644511726,Average,-0.4216464935041797
13,intermediate_object,SA,-1.7178035004021766,n-1,-0.4216464935041797
14,intermediate_object,NK,-0.7245179826519955,Average,-0.465969608320746
15,intermediate_object,NK,-1.1604234704840337,n-1,-0.465969608320746
