,Domain,Subject,LL,Model,Best LL
0,intermediate_texture,MC,-0.8461854657654732,Average,-0.41005467588715544
1,intermediate_texture,MC,-1.85381818470126,n-1,-0.41005467588715544
2,intermediate_texture,BL,-0.6816324947738956,Average,-0.39455076527494165
3,intermediate_texture,BL,-0.8404081088190789,n-1,-0.39455076527494165
4,intermediate_texture,EFV,-0.6934490521836406,Average,-0.40157223475884557
5,intermediate_texture,EFV,-0.957105874808133,n-1,-0.40157223475884557
6,intermediate_texture,SJ,-0.5757169288518436,Average,-0.34877419742157006
7,intermediate_texture,SJ,-0.642131935406441,n-1,-0.34877419742157006
8,intermediate_texture,SAW,-0.7817046113471465,Average,-0.3486249080925973
9,intermediate_texture,SAW,-1.4487035040372407,n-1,-0.3486249080925973
10,intermediate_texture,YCL,-0.7478446810925915,Average,-0.3877296044767861
11,intermediate_texture,YCL,-1.2196305110313206,n-1,-0.3877296044767861
12,intermediate_texture,SA,-0.7599543181777703,Average,-0.4248312639525508
13,intermediate_texture,SA,-1.3258804439985672,n-1,-0.4248312639525508
14,intermediate_texture,JF,-0.6909887940302402,Average,-0.43064427806598027
15,intermediate_texture,JF,-0.9483122470384606,n-1,-0.43064427806598027
