ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,
hog,turtle,shark,snake,bat,eagle,crocodile,monkey,giraffe,0.882258866
whale,goat,frog,sparrow,tiger,bluebird,crocodile,snake,elephant,0.975394876
lizard,dog,fox,bear,hog,cow,bat,shark,snail,0.213449661
spider,turkey,horse,sheep,pigeon,snake,dolphin,owl,goldfish,0.784053938
bluebird,shark,cat,spider,dog,rat,monkey,snake,owl,0.28502406
ant,bat,shark,dolphin,dog,lizard,sheep,whale,mouse,0.369356086
fox,eagle,snake,bluebird,pigeon,dog,frog,sparrow,horse,0.569091994
sheep,fox,lizard,whale,ladybug,pigeon,eagle,giraffe,horse,0.317940848
giraffe,mouse,whale,hog,lizard,rat,cat,frog,sheep,0.222839272
turkey,monkey,duck,bat,tiger,eagle,horse,ant,ladybug,0.709247345
ladybug,crocodile,bluebird,horse,goldfish,turkey,butterfly,cow,sparrow,0.059324449
dolphin,owl,whale,monkey,butterfly,eagle,pigeon,elephant,lizard,0.065997674
dog,elephant,bat,goat,turkey,butterfly,whale,hog,crocodile,0.991457115
bluebird,goldfish,dolphin,turtle,bat,frog,fox,crocodile,hog,0.868291129
butterfly,cat,whale,horse,snake,dolphin,monkey,sparrow,giraffe,0.80957971
bat,bear,goldfish,rat,dolphin,sparrow,spider,goat,lizard,0.861505844
mouse,duck,cat,eagle,snail,goat,butterfly,crocodile,lizard,0.997653175
sheep,dog,hog,rat,dolphin,turkey,horse,goat,fox,0.288774587
cow,ant,owl,bear,horse,giraffe,butterfly,cat,hog,0.802680242
frog,elephant,dolphin,eagle,monkey,ladybug,whale,shark,rat,0.77994669
fox,cat,ant,elephant,mouse,hog,sheep,spider,snail,0.715113815
pigeon,crocodile,bear,bluebird,turkey,elephant,mouse,owl,shark,0.915790518
frog,snail,dog,spider,sheep,butterfly,goldfish,fox,lizard,0.368288205
snail,butterfly,bear,snake,bat,whale,eagle,hog,elephant,0.54730772
cow,goldfish,bat,snake,shark,ladybug,duck,frog,pigeon,0.992580651
crocodile,rat,ant,snake,giraffe,bluebird,snail,horse,owl,0.935658897
lizard,pigeon,cat,owl,dolphin,mouse,tiger,duck,ladybug,0.943687707
ladybug,turtle,snake,frog,monkey,giraffe,dog,elephant,whale,0.392018606
snake,crocodile,whale,turkey,sheep,fox,horse,monkey,turtle,0.703292888
bear,goat,fox,whale,bat,cow,spider,snake,shark,0.86524941
dolphin,cow,shark,frog,sparrow,monkey,horse,whale,snake,0.709688407
duck,horse,sheep,bat,whale,bluebird,goat,owl,snail,0.675697035
mouse,bear,butterfly,ladybug,lizard,monkey,sparrow,fox,hog,0.624088942
elephant,goat,sparrow,rat,crocodile,eagle,turtle,owl,ant,0.439519044
fox,monkey,eagle,crocodile,dog,rat,whale,duck,cow,0.274702809
horse,sparrow,dolphin,elephant,snake,bear,monkey,pigeon,cow,0.053100865
spider,fox,bluebird,mouse,bat,sparrow,goat,dog,elephant,0.588755057
horse,fox,whale,tiger,mouse,eagle,monkey,bat,cow,0.360033682
owl,sheep,ladybug,mouse,whale,goldfish,goat,snail,sparrow,0.949955659
pigeon,sheep,fox,ladybug,bear,crocodile,giraffe,frog,whale,0.966776797
goldfish,ant,mouse,elephant,whale,ladybug,turkey,turtle,butterfly,0.075608899
shark,dog,monkey,whale,bear,goat,turkey,sparrow,cat,0.371301192
monkey,bluebird,pigeon,butterfly,eagle,sheep,whale,snail,spider,0.720977493
snake,ant,turtle,dolphin,ladybug,butterfly,monkey,spider,sparrow,0.427252204
ant,turkey,bluebird,bear,turtle,lizard,dolphin,frog,crocodile,0.232614157
cow,crocodile,spider,shark,sheep,snail,duck,goat,whale,0.595355214
snake,goat,bat,goldfish,dog,frog,tiger,duck,owl,0.888050866
tiger,ant,sparrow,crocodile,bat,dolphin,whale,dog,fox,0.055053425
bat,mouse,dog,owl,ladybug,cow,giraffe,bluebird,butterfly,0.840046397
dog,dolphin,monkey,pigeon,turtle,cat,mouse,ant,shark,0.726954487
dog,cow,ladybug,giraffe,lizard,owl,tiger,pigeon,monkey,0.285194053
goldfish,tiger,horse,bat,rat,bear,fox,owl,giraffe,0.639587016
monkey,elephant,fox,goldfish,giraffe,mouse,lizard,goat,turkey,0.227902117
bluebird,frog,horse,lizard,cow,hog,monkey,bear,dog,0.114642879
giraffe,snail,spider,bear,elephant,cow,dog,sheep,hog,0.56292479
hog,bear,ladybug,goldfish,horse,sparrow,goat,fox,turkey,0.017931394
goat,snail,elephant,bat,giraffe,sheep,sparrow,dolphin,spider,0.170141598
turtle,hog,fox,horse,frog,butterfly,giraffe,spider,crocodile,0.905276086
eagle,lizard,ladybug,turtle,shark,dog,goldfish,monkey,frog,0.748989669
spider,cat,dolphin,hog,cow,turkey,goat,lizard,bluebird,0.123715091
turkey,horse,monkey,whale,spider,frog,hog,rat,bear,0.775126712
sparrow,ladybug,fox,dog,goat,goldfish,owl,butterfly,dolphin,0.849099007
cow,giraffe,mouse,whale,crocodile,bluebird,elephant,turtle,owl,0.583480566
cat,turtle,bear,elephant,frog,spider,eagle,crocodile,shark,0.636370275
monkey,goat,bear,ladybug,sparrow,whale,lizard,snail,hog,0.828048431
snake,frog,elephant,bear,dog,snail,giraffe,cow,shark,0.03286999
bear,cat,ant,lizard,owl,horse,pigeon,sparrow,giraffe,0.6173712
horse,shark,butterfly,lizard,tiger,duck,dog,mouse,frog,0.303524605
bat,snake,lizard,snail,turtle,crocodile,fox,rat,sheep,0.315665436
butterfly,rat,bear,dog,spider,ant,pigeon,goldfish,mouse,0.284628679
dog,lizard,eagle,elephant,bluebird,bear,giraffe,frog,butterfly,0.607113352
dolphin,bear,ladybug,turtle,goat,bat,fox,tiger,sheep,0.962091798
rat,horse,whale,turtle,ladybug,sheep,bat,cat,eagle,0.454702931
eagle,dolphin,owl,rat,spider,tiger,bluebird,bat,fox,0.48430368
frog,rat,crocodile,eagle,bluebird,mouse,fox,goat,butterfly,0.743521469
ant,snail,dog,sparrow,cow,cat,hog,whale,monkey,0.141877166
bat,tiger,snake,pigeon,duck,turkey,cat,horse,snail,0.883569506
ant,butterfly,giraffe,rat,goldfish,duck,spider,horse,fox,0.166213391
elephant,ant,whale,ladybug,turkey,lizard,hog,cat,goat,0.706873149
snail,rat,tiger,ant,cow,dolphin,spider,cat,monkey,0.991637985
spider,snail,tiger,turtle,mouse,duck,ant,dog,giraffe,0.521535815
whale,duck,shark,cow,lizard,dolphin,ant,butterfly,owl,0.555779924
shark,horse,elephant,snail,frog,eagle,snake,spider,hog,0.621977049
giraffe,sparrow,fox,bluebird,horse,dolphin,frog,butterfly,rat,0.49356628
turtle,bear,sheep,monkey,dog,owl,ladybug,eagle,lizard,0.876148389
crocodile,eagle,fox,monkey,dolphin,pigeon,dog,bat,mouse,0.037772086
fox,duck,spider,crocodile,turkey,owl,snail,butterfly,shark,0.966133662
elephant,bat,monkey,bluebird,spider,dog,snake,mouse,giraffe,0.83987906
lizard,rat,fox,ant,spider,goldfish,dog,elephant,giraffe,0.843765467
turkey,elephant,lizard,goldfish,bear,crocodile,fox,hog,cow,0.67236619
hog,snail,cat,bear,mouse,elephant,sparrow,owl,bluebird,0.157394048
giraffe,dolphin,turkey,ladybug,sparrow,ant,turtle,snake,owl,0.504136497
lizard,sparrow,turtle,snake,shark,frog,bat,turkey,crocodile,0.113909487
turtle,whale,rat,sheep,lizard,duck,pigeon,goldfish,cat,0.895571062
bluebird,ladybug,snake,whale,pigeon,elephant,tiger,ant,shark,0.462159598
duck,monkey,snail,goat,fox,dolphin,cat,elephant,rat,0.532823263
bat,eagle,pigeon,cow,ant,owl,cat,monkey,elephant,0.800159482
ant,pigeon,ladybug,sparrow,spider,goldfish,monkey,eagle,snake,0.697965539
rat,tiger,frog,ant,mouse,lizard,cow,pigeon,hog,0.359568159
butterfly,giraffe,bluebird,duck,elephant,ladybug,goat,dolphin,hog,0.261442893
giraffe,tiger,pigeon,bear,cow,goldfish,crocodile,shark,eagle,0.786993734
rat,lizard,crocodile,dog,bluebird,tiger,duck,fox,sparrow,0.019975741
spider,giraffe,ladybug,rat,frog,duck,monkey,shark,butterfly,0.552485122
shark,mouse,tiger,dolphin,ant,duck,lizard,bluebird,butterfly,0.562240179
sheep,crocodile,snail,sparrow,bat,cow,pigeon,ladybug,bear,0.165941059
cow,lizard,eagle,frog,turkey,tiger,goldfish,sparrow,rat,0.449729976
tiger,monkey,elephant,sheep,giraffe,sparrow,dolphin,ladybug,cow,0.994455183
turkey,turtle,pigeon,bat,giraffe,cat,ant,shark,bluebird,0.104864087
sparrow,lizard,cow,frog,ant,sheep,tiger,duck,crocodile,0.455131732
snail,owl,dog,sparrow,turkey,lizard,goldfish,goat,frog,0.704103639
goat,sheep,horse,rat,spider,cow,duck,whale,mouse,0.728325026
