text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,text_9.started,text_9.stopped,text_ref.started,text_ref.stopped,participant,session,date,expName,psychopyVersion,frameRate
89.6985914,None,space,14.02842535,89.6985914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,S7,6,2020_May_29_1604,word_exp,2020.1.0,None
,,,,,,103.8424934,None,103.8424934,None,-0.246666667,0.268888889,1,0,0,11.34750412,stim4,0.010891719,None,103.8424934,None,103.8424934,None,103.8424934,None,103.8424934,None,103.8424934,None,103.8424934,None,103.8424934,None,S7,6,2020_May_29_1604,word_exp,2020.1.0,None
,,,,,,136.1477521,None,136.1477521,None,-0.25,0.253333333,1,0,0,25.87093636,stim4,0.00191404,None,136.1477521,None,136.1477521,None,136.1477521,None,136.1477521,None,136.1477521,None,136.1477521,None,136.1477521,None,S7,6,2020_May_29_1604,word_exp,2020.1.0,None
,,,,,,177.9148512,None,177.9148512,None,0.268888889,0.257777778,1,0,0,22.30308027,stim2,0.003595455,None,177.9148512,None,177.9148512,None,177.9148512,None,177.9148512,None,177.9148512,None,177.9148512,None,177.9148512,None,S7,6,2020_May_29_1604,word_exp,2020.1.0,None
,,,,,,218.9801778,None,218.9801778,None,-0.01,-0.383333333,1,0,0,8.458854158,stim7,0.003065448,None,218.9801778,None,218.9801778,None,218.9801778,None,218.9801778,None,218.9801778,None,218.9801778,None,218.9801778,None,S7,6,2020_May_29_1604,word_exp,2020.1.0,None
,,,,,,242.7967525,None,242.7967525,None,-0.378888889,0.001111111,1,0,0,16.12080265,stim5,0.002392592,None,242.7967525,None,242.7967525,None,242.7967525,None,242.7967525,None,242.7967525,None,242.7967525,None,242.7967525,None,S7,6,2020_May_29_1604,word_exp,2020.1.0,None
,,,,,,275.7132697,None,275.7132697,None,0.282222222,0.27,1,0,0,4.273740675,stim2,0.003615396,None,275.7132697,None,275.7132697,None,275.7132697,None,275.7132697,None,275.7132697,None,275.7132697,None,275.7132697,None,S7,6,2020_May_29_1604,word_exp,2020.1.0,None
,,,,,,300.5653577,None,300.5653577,None,-0.256666667,-0.266666667,1,0,0,16.59562293,stim6,0.007081415,None,300.5653577,None,300.5653577,None,300.5653577,None,300.5653577,None,300.5653577,None,300.5653577,None,300.5653577,None,S7,6,2020_May_29_1604,word_exp,2020.1.0,None
,,,,,,339.9230267,None,339.9230267,None,0.012222222,-0.373333333,1,0,0,8.652954983,stim7,0.001711087,None,339.9230267,None,339.9230267,None,339.9230267,None,339.9230267,None,339.9230267,None,339.9230267,None,339.9230267,None,S7,6,2020_May_29_1604,word_exp,2020.1.0,None
,,,,,,366.8388884,None,366.8388884,None,-0.265555556,0.257777778,1,0,0,3.277474156,stim4,0.00520746,None,366.8388884,None,366.8388884,None,366.8388884,None,366.8388884,None,366.8388884,None,366.8388884,None,366.8388884,None,S7,6,2020_May_29_1604,word_exp,2020.1.0,None
,,,,,,386.4718029,None,386.4718029,None,-0.378888889,0,1,0,0,8.542514514,stim5,0.002976405,None,386.4718029,None,386.4718029,None,386.4718029,None,386.4718029,None,386.4718029,None,386.4718029,None,386.4718029,None,S7,6,2020_May_29_1604,word_exp,2020.1.0,None
