ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
ladybug,sheep,pigeon,turkey,snake,cow,rat,snail,monkey,"['stim7', 'stim6', 'stim4', 'stim2', 'stim3', 'stim1', 'stim5', 'stim8']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
frog,turtle,pigeon,ant,giraffe,whale,horse,dolphin,duck,"['stim1', 'stim8', 'stim2', 'stim7', 'stim5', 'stim6', 'stim4', 'stim3']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
butterfly,monkey,turkey,lizard,shark,bat,whale,crocodile,turtle,"['stim3', 'stim8', 'stim5', 'stim2', 'stim7', 'stim1', 'stim4', 'stim6']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
whale,goat,frog,sparrow,tiger,bluebird,crocodile,snake,elephant,"['stim6', 'stim8', 'stim4', 'stim1', 'stim5', 'stim3', 'stim7', 'stim2']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
eagle,turkey,cow,sparrow,cat,hog,turtle,snail,frog,"['stim3', 'stim1', 'stim4', 'stim5', 'stim2', 'stim6', 'stim8', 'stim7']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
goldfish,tiger,horse,bat,rat,bear,fox,owl,giraffe,"['stim4', 'stim3', 'stim7', 'stim6', 'stim1', 'stim2', 'stim5', 'stim8']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
crocodile,rat,ant,snake,giraffe,bluebird,snail,horse,owl,"['stim3', 'stim7', 'stim4', 'stim5', 'stim8', 'stim6', 'stim1', 'stim2']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
goldfish,crocodile,bat,sheep,sparrow,snake,snail,horse,bluebird,"['stim1', 'stim5', 'stim6', 'stim4', 'stim2', 'stim8', 'stim3', 'stim7']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
spider,whale,butterfly,bear,shark,pigeon,eagle,crocodile,goldfish,"['stim2', 'stim8', 'stim7', 'stim5', 'stim6', 'stim3', 'stim4', 'stim1']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
owl,dolphin,frog,butterfly,dog,bear,eagle,monkey,rat,"['stim6', 'stim4', 'stim5', 'stim7', 'stim2', 'stim8', 'stim1', 'stim3']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
pigeon,elephant,monkey,goat,bluebird,snake,lizard,bat,hog,"['stim4', 'stim8', 'stim3', 'stim5', 'stim6', 'stim7', 'stim2', 'stim1']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
whale,spider,mouse,turkey,dog,owl,hog,shark,turtle,"['stim7', 'stim8', 'stim6', 'stim4', 'stim5', 'stim3', 'stim2', 'stim1']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
monkey,goat,bear,ladybug,sparrow,whale,lizard,snail,hog,"['stim2', 'stim8', 'stim1', 'stim5', 'stim4', 'stim6', 'stim7', 'stim3']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
shark,dog,monkey,whale,bear,goat,turkey,sparrow,cat,"['stim3', 'stim4', 'stim2', 'stim5', 'stim1', 'stim8', 'stim6', 'stim7']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
turkey,turtle,pigeon,bat,giraffe,cat,ant,shark,bluebird,"['stim2', 'stim8', 'stim3', 'stim5', 'stim4', 'stim1', 'stim7', 'stim6']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
turkey,elephant,lizard,goldfish,bear,crocodile,fox,hog,cow,"['stim2', 'stim5', 'stim7', 'stim6', 'stim8', 'stim4', 'stim1', 'stim3']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
bat,bear,goldfish,rat,dolphin,sparrow,spider,goat,lizard,"['stim3', 'stim8', 'stim5', 'stim7', 'stim1', 'stim2', 'stim4', 'stim6']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
dog,snail,shark,horse,sparrow,goldfish,rat,fox,turtle,"['stim7', 'stim3', 'stim4', 'stim8', 'stim2', 'stim5', 'stim6', 'stim1']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
bear,elephant,turtle,eagle,crocodile,cow,shark,dog,duck,"['stim1', 'stim5', 'stim7', 'stim6', 'stim4', 'stim3', 'stim8', 'stim2']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
mouse,turkey,giraffe,bat,ant,elephant,frog,dog,spider,"['stim3', 'stim6', 'stim1', 'stim7', 'stim2', 'stim5', 'stim8', 'stim4']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
mouse,dolphin,monkey,fox,snake,owl,bluebird,sheep,turtle,"['stim4', 'stim8', 'stim6', 'stim5', 'stim3', 'stim7', 'stim2', 'stim1']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
butterfly,cat,whale,horse,snake,dolphin,monkey,sparrow,giraffe,"['stim7', 'stim4', 'stim1', 'stim3', 'stim8', 'stim6', 'stim5', 'stim2']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
rat,lizard,crocodile,dog,bluebird,tiger,duck,fox,sparrow,"['stim1', 'stim2', 'stim8', 'stim4', 'stim6', 'stim3', 'stim7', 'stim5']",S7,10,2020_Jun_05_1638,word_exp,2020.1.0,60.17609403
