ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,
shark,horse,elephant,snail,frog,eagle,snake,spider,hog,0.20474495
whale,duck,shark,cow,lizard,dolphin,ant,butterfly,owl,0.680698552
mouse,duck,cat,eagle,snail,goat,butterfly,crocodile,lizard,0.038104722
sparrow,lizard,cow,frog,ant,sheep,tiger,duck,crocodile,0.152151852
spider,giraffe,ladybug,rat,frog,duck,monkey,shark,butterfly,0.028022395
dolphin,bear,ladybug,turtle,goat,bat,fox,tiger,sheep,0.254099664
frog,rat,crocodile,eagle,bluebird,mouse,fox,goat,butterfly,0.494206412
fox,monkey,eagle,crocodile,dog,rat,whale,duck,cow,0.337213705
elephant,ant,whale,ladybug,turkey,lizard,hog,cat,goat,0.908223385
eagle,dolphin,owl,rat,spider,tiger,bluebird,bat,fox,0.431360376
pigeon,sheep,fox,ladybug,bear,crocodile,giraffe,frog,whale,0.361843041
butterfly,rat,bear,dog,spider,ant,pigeon,goldfish,mouse,0.877240463
sheep,fox,lizard,whale,ladybug,pigeon,eagle,giraffe,horse,0.086851086
dolphin,cow,shark,frog,sparrow,monkey,horse,whale,snake,0.691812893
dog,cow,ladybug,giraffe,lizard,owl,tiger,pigeon,monkey,0.205847285
monkey,elephant,fox,goldfish,giraffe,mouse,lizard,goat,turkey,0.007437858
dog,lizard,eagle,elephant,bluebird,bear,giraffe,frog,butterfly,0.680051722
spider,cat,dolphin,hog,cow,turkey,goat,lizard,bluebird,0.291102788
snail,owl,dog,sparrow,turkey,lizard,goldfish,goat,frog,0.449869222
crocodile,eagle,fox,monkey,dolphin,pigeon,dog,bat,mouse,0.248531631
turkey,turtle,pigeon,bat,giraffe,cat,ant,shark,bluebird,0.517109304
spider,fox,bluebird,mouse,bat,sparrow,goat,dog,elephant,0.846920406
shark,mouse,tiger,dolphin,ant,duck,lizard,bluebird,butterfly,0.982342906
bat,mouse,dog,owl,ladybug,cow,giraffe,bluebird,butterfly,0.076948394
dog,elephant,bat,goat,turkey,butterfly,whale,hog,crocodile,0.257058803
elephant,goat,sparrow,rat,crocodile,eagle,turtle,owl,ant,0.283138064
dog,dolphin,monkey,pigeon,turtle,cat,mouse,ant,shark,0.295401013
spider,snail,tiger,turtle,mouse,duck,ant,dog,giraffe,0.674990722
snake,goat,bat,goldfish,dog,frog,tiger,duck,owl,0.331432002
turkey,horse,monkey,whale,spider,frog,hog,rat,bear,0.545886565
bat,eagle,pigeon,cow,ant,owl,cat,monkey,elephant,0.911252858
mouse,bear,butterfly,ladybug,lizard,monkey,sparrow,fox,hog,0.538640262
cat,turtle,bear,elephant,frog,spider,eagle,crocodile,shark,0.491532814
sheep,crocodile,snail,sparrow,bat,cow,pigeon,ladybug,bear,0.975602611
sheep,dog,hog,rat,dolphin,turkey,horse,goat,fox,0.454623718
elephant,bat,monkey,bluebird,spider,dog,snake,mouse,giraffe,0.047144481
frog,snail,dog,spider,sheep,butterfly,goldfish,fox,lizard,0.739812637
hog,turtle,shark,snake,bat,eagle,crocodile,monkey,giraffe,0.418773891
cow,giraffe,mouse,whale,crocodile,bluebird,elephant,turtle,owl,0.454170692
snake,ant,turtle,dolphin,ladybug,butterfly,monkey,spider,sparrow,0.197508821
bluebird,frog,horse,lizard,cow,hog,monkey,bear,dog,0.459084291
horse,sparrow,dolphin,elephant,snake,bear,monkey,pigeon,cow,0.947368396
rat,tiger,frog,ant,mouse,lizard,cow,pigeon,hog,0.329659953
tiger,monkey,elephant,sheep,giraffe,sparrow,dolphin,ladybug,cow,0.58933505
horse,shark,butterfly,lizard,tiger,duck,dog,mouse,frog,0.061951744
owl,sheep,ladybug,mouse,whale,goldfish,goat,snail,sparrow,0.765972592
bluebird,ladybug,snake,whale,pigeon,elephant,tiger,ant,shark,0.611254156
bat,tiger,snake,pigeon,duck,turkey,cat,horse,snail,0.108422747
giraffe,dolphin,turkey,ladybug,sparrow,ant,turtle,snake,owl,0.822817201
giraffe,sparrow,fox,bluebird,horse,dolphin,frog,butterfly,rat,0.107871094
ant,snail,dog,sparrow,cow,cat,hog,whale,monkey,0.578109989
ant,turkey,bluebird,bear,turtle,lizard,dolphin,frog,crocodile,0.481039299
sparrow,ladybug,fox,dog,goat,goldfish,owl,butterfly,dolphin,0.868408489
ant,bat,shark,dolphin,dog,lizard,sheep,whale,mouse,0.151201491
goat,snail,elephant,bat,giraffe,sheep,sparrow,dolphin,spider,0.077214267
snail,butterfly,bear,snake,bat,whale,eagle,hog,elephant,0.872972828
lizard,pigeon,cat,owl,dolphin,mouse,tiger,duck,ladybug,0.708575168
ladybug,turtle,snake,frog,monkey,giraffe,dog,elephant,whale,0.520447874
butterfly,cat,whale,horse,snake,dolphin,monkey,sparrow,giraffe,0.817691411
spider,turkey,horse,sheep,pigeon,snake,dolphin,owl,goldfish,0.248644575
ant,pigeon,ladybug,sparrow,spider,goldfish,monkey,eagle,snake,0.446898245
eagle,lizard,ladybug,turtle,shark,dog,goldfish,monkey,frog,0.775885634
dolphin,owl,whale,monkey,butterfly,eagle,pigeon,elephant,lizard,0.11172305
ant,butterfly,giraffe,rat,goldfish,duck,spider,horse,fox,0.817906938
pigeon,crocodile,bear,bluebird,turkey,elephant,mouse,owl,shark,0.390639173
goat,sheep,horse,rat,spider,cow,duck,whale,mouse,0.856785703
cow,lizard,eagle,frog,turkey,tiger,goldfish,sparrow,rat,0.335386157
bear,goat,fox,whale,bat,cow,spider,snake,shark,0.950005983
lizard,sparrow,turtle,snake,shark,frog,bat,turkey,crocodile,0.559356385
fox,duck,spider,crocodile,turkey,owl,snail,butterfly,shark,0.605510028
giraffe,snail,spider,bear,elephant,cow,dog,sheep,hog,0.350610516
lizard,dog,fox,bear,hog,cow,bat,shark,snail,0.259107701
turkey,monkey,duck,bat,tiger,eagle,horse,ant,ladybug,0.838907754
horse,fox,whale,tiger,mouse,eagle,monkey,bat,cow,0.787369869
monkey,bluebird,pigeon,butterfly,eagle,sheep,whale,snail,spider,0.185244353
cow,crocodile,spider,shark,sheep,snail,duck,goat,whale,0.338355351
bat,bear,goldfish,rat,dolphin,sparrow,spider,goat,lizard,0.386813683
cow,goldfish,bat,snake,shark,ladybug,duck,frog,pigeon,0.340230936
fox,eagle,snake,bluebird,pigeon,dog,frog,sparrow,horse,0.835397129
bat,snake,lizard,snail,turtle,crocodile,fox,rat,sheep,0.742305683
duck,monkey,snail,goat,fox,dolphin,cat,elephant,rat,0.359841292
hog,bear,ladybug,goldfish,horse,sparrow,goat,fox,turkey,0.364902171
bluebird,shark,cat,spider,dog,rat,monkey,snake,owl,0.603170566
rat,horse,whale,turtle,ladybug,sheep,bat,cat,eagle,0.489651095
monkey,goat,bear,ladybug,sparrow,whale,lizard,snail,hog,0.78962609
fox,cat,ant,elephant,mouse,hog,sheep,spider,snail,0.244332337
ladybug,crocodile,bluebird,horse,goldfish,turkey,butterfly,cow,sparrow,0.677816558
snake,frog,elephant,bear,dog,snail,giraffe,cow,shark,0.235817595
cow,ant,owl,bear,horse,giraffe,butterfly,cat,hog,0.720011137
bluebird,goldfish,dolphin,turtle,bat,frog,fox,crocodile,hog,0.22279378
tiger,ant,sparrow,crocodile,bat,dolphin,whale,dog,fox,0.941716979
whale,goat,frog,sparrow,tiger,bluebird,crocodile,snake,elephant,0.435927645
turtle,hog,fox,horse,frog,butterfly,giraffe,spider,crocodile,0.563279241
turtle,whale,rat,sheep,lizard,duck,pigeon,goldfish,cat,0.69478373
shark,dog,monkey,whale,bear,goat,turkey,sparrow,cat,0.86714533
goldfish,tiger,horse,bat,rat,bear,fox,owl,giraffe,0.294790235
snake,crocodile,whale,turkey,sheep,fox,horse,monkey,turtle,0.427297783
rat,lizard,crocodile,dog,bluebird,tiger,duck,fox,sparrow,0.294239789
turkey,elephant,lizard,goldfish,bear,crocodile,fox,hog,cow,0.19318795
hog,snail,cat,bear,mouse,elephant,sparrow,owl,bluebird,0.50962905
lizard,rat,fox,ant,spider,goldfish,dog,elephant,giraffe,0.81084044
goldfish,ant,mouse,elephant,whale,ladybug,turkey,turtle,butterfly,0.357340082
duck,horse,sheep,bat,whale,bluebird,goat,owl,snail,0.941700569
frog,elephant,dolphin,eagle,monkey,ladybug,whale,shark,rat,0.994373466
giraffe,tiger,pigeon,bear,cow,goldfish,crocodile,shark,eagle,0.138523026
giraffe,mouse,whale,hog,lizard,rat,cat,frog,sheep,0.922934867
crocodile,rat,ant,snake,giraffe,bluebird,snail,horse,owl,0.981291069
bear,cat,ant,lizard,owl,horse,pigeon,sparrow,giraffe,0.444030451
snail,rat,tiger,ant,cow,dolphin,spider,cat,monkey,0.661453176
butterfly,giraffe,bluebird,duck,elephant,ladybug,goat,dolphin,hog,0.07708991
turtle,bear,sheep,monkey,dog,owl,ladybug,eagle,lizard,0.331049929
