ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
ladybug,sheep,pigeon,turkey,snake,cow,rat,snail,monkey,"['stim7', 'stim6', 'stim2', 'stim3', 'stim4', 'stim1', 'stim8', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
frog,turtle,pigeon,ant,giraffe,whale,horse,dolphin,duck,"['stim1', 'stim7', 'stim8', 'stim2', 'stim6', 'stim4', 'stim5', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
butterfly,monkey,turkey,lizard,shark,bat,whale,crocodile,turtle,"['stim5', 'stim8', 'stim3', 'stim2', 'stim1', 'stim4', 'stim6', 'stim7']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
whale,goat,frog,sparrow,tiger,bluebird,crocodile,snake,elephant,"['stim8', 'stim6', 'stim4', 'stim1', 'stim7', 'stim2', 'stim3', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
eagle,turkey,cow,sparrow,cat,hog,turtle,snail,frog,"['stim1', 'stim3', 'stim7', 'stim8', 'stim6', 'stim4', 'stim5', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
goldfish,tiger,horse,bat,rat,bear,fox,owl,giraffe,"['stim4', 'stim3', 'stim7', 'stim6', 'stim1', 'stim2', 'stim8', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
crocodile,rat,ant,snake,giraffe,bluebird,snail,horse,owl,"['stim3', 'stim6', 'stim4', 'stim7', 'stim8', 'stim5', 'stim1', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
goldfish,crocodile,bat,sheep,sparrow,snake,snail,horse,bluebird,"['stim6', 'stim5', 'stim1', 'stim2', 'stim8', 'stim4', 'stim3', 'stim7']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
spider,whale,butterfly,bear,shark,pigeon,eagle,crocodile,goldfish,"['stim2', 'stim8', 'stim5', 'stim6', 'stim4', 'stim7', 'stim3', 'stim1']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
owl,dolphin,frog,butterfly,dog,bear,eagle,monkey,rat,"['stim6', 'stim3', 'stim2', 'stim8', 'stim4', 'stim7', 'stim1', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
pigeon,elephant,monkey,goat,bluebird,snake,lizard,bat,hog,"['stim4', 'stim7', 'stim6', 'stim5', 'stim3', 'stim2', 'stim8', 'stim1']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
whale,spider,mouse,turkey,dog,owl,hog,shark,turtle,"['stim7', 'stim4', 'stim3', 'stim6', 'stim5', 'stim2', 'stim8', 'stim1']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
monkey,goat,bear,ladybug,sparrow,whale,lizard,snail,hog,"['stim1', 'stim8', 'stim2', 'stim3', 'stim7', 'stim6', 'stim4', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
shark,dog,monkey,whale,bear,goat,turkey,sparrow,cat,"['stim3', 'stim4', 'stim2', 'stim1', 'stim5', 'stim6', 'stim7', 'stim8']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
turkey,turtle,pigeon,bat,giraffe,cat,ant,shark,bluebird,"['stim2', 'stim8', 'stim6', 'stim3', 'stim1', 'stim5', 'stim7', 'stim4']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
turkey,elephant,lizard,goldfish,bear,crocodile,fox,hog,cow,"['stim6', 'stim7', 'stim8', 'stim4', 'stim1', 'stim5', 'stim2', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
bat,bear,goldfish,rat,dolphin,sparrow,spider,goat,lizard,"['stim3', 'stim5', 'stim7', 'stim1', 'stim8', 'stim6', 'stim2', 'stim4']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
dog,snail,shark,horse,sparrow,goldfish,rat,fox,turtle,"['stim7', 'stim6', 'stim4', 'stim3', 'stim2', 'stim8', 'stim1', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
bear,elephant,turtle,eagle,crocodile,cow,shark,dog,duck,"['stim5', 'stim1', 'stim4', 'stim6', 'stim7', 'stim3', 'stim8', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
mouse,turkey,giraffe,bat,ant,elephant,frog,dog,spider,"['stim3', 'stim6', 'stim7', 'stim1', 'stim2', 'stim5', 'stim8', 'stim4']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
mouse,dolphin,monkey,fox,snake,owl,bluebird,sheep,turtle,"['stim6', 'stim5', 'stim3', 'stim2', 'stim7', 'stim8', 'stim4', 'stim1']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
butterfly,cat,whale,horse,snake,dolphin,monkey,sparrow,giraffe,"['stim7', 'stim4', 'stim1', 'stim6', 'stim3', 'stim5', 'stim8', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
rat,lizard,crocodile,dog,bluebird,tiger,duck,fox,sparrow,"['stim8', 'stim4', 'stim6', 'stim3', 'stim7', 'stim5', 'stim1', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
goat,crocodile,bluebird,cat,snake,bear,butterfly,turtle,shark,"['stim5', 'stim3', 'stim1', 'stim8', 'stim4', 'stim7', 'stim2', 'stim6']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
duck,dog,cow,spider,crocodile,mouse,giraffe,turtle,shark,"['stim5', 'stim1', 'stim2', 'stim8', 'stim6', 'stim4', 'stim7', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
sparrow,monkey,eagle,rat,bluebird,snail,lizard,ant,horse,"['stim4', 'stim2', 'stim7', 'stim5', 'stim6', 'stim3', 'stim1', 'stim8']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
crocodile,dog,fox,horse,turtle,hog,snake,spider,shark,"['stim6', 'stim4', 'stim8', 'stim3', 'stim5', 'stim2', 'stim1', 'stim7']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
snail,owl,dog,sparrow,turkey,lizard,goldfish,goat,frog,"['stim8', 'stim5', 'stim6', 'stim3', 'stim4', 'stim1', 'stim2', 'stim7']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
ladybug,shark,dolphin,hog,duck,mouse,eagle,fox,cat,"['stim5', 'stim4', 'stim6', 'stim8', 'stim7', 'stim3', 'stim2', 'stim1']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
