ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,
crocodile,pigeon,sheep,ladybug,turkey,cow,goldfish,goat,dolphin,0.646219768
giraffe,goldfish,pigeon,tiger,cow,shark,eagle,crocodile,bear,0.08966994
sparrow,bat,bear,giraffe,dolphin,sheep,goldfish,tiger,snake,0.666228604
goat,tiger,snake,monkey,fox,dog,pigeon,lizard,shark,0.531526083
frog,ladybug,dolphin,elephant,monkey,shark,rat,whale,eagle,0.050069895
sparrow,dog,turkey,pigeon,turtle,hog,shark,cat,goat,0.598041434
fox,dog,snake,eagle,pigeon,sparrow,horse,frog,bluebird,0.841813468
tiger,sparrow,elephant,monkey,giraffe,ladybug,cow,dolphin,sheep,0.470407062
butterfly,goldfish,mouse,eagle,fox,ladybug,cow,frog,duck,0.103699634
snail,turkey,pigeon,monkey,cat,ladybug,sparrow,fox,duck,0.772684092
duck,turkey,turtle,cow,lizard,tiger,pigeon,bear,frog,0.169005508
sheep,turkey,hog,dog,dolphin,goat,fox,horse,rat,0.71859646
mouse,monkey,butterfly,bear,lizard,fox,hog,sparrow,ladybug,0.798924121
ant,goldfish,ladybug,pigeon,spider,eagle,snake,monkey,sparrow,0.820375565
cow,giraffe,owl,ant,horse,cat,hog,butterfly,bear,0.089212469
snake,hog,lizard,bear,eagle,turkey,crocodile,cat,elephant,0.642529396
cow,dog,bear,monkey,tiger,fox,eagle,ant,dolphin,0.21926627
duck,dolphin,snail,monkey,fox,elephant,rat,cat,goat,0.400511755
snake,frog,bat,goat,dog,duck,owl,tiger,goldfish,0.363525805
elephant,turkey,monkey,shark,snail,tiger,butterfly,cat,bat,0.723836483
rat,giraffe,ant,butterfly,snail,pigeon,snake,elephant,bear,0.94227029
monkey,sheep,pigeon,bluebird,eagle,snail,spider,whale,butterfly,0.977462117
cat,goat,horse,sheep,fox,dog,turtle,elephant,monkey,0.812746347
sheep,cow,snail,crocodile,bat,ladybug,bear,pigeon,sparrow,0.998433985
turtle,butterfly,fox,hog,frog,spider,crocodile,giraffe,horse,0.629131983
shark,bat,mouse,crocodile,giraffe,monkey,fox,sparrow,butterfly,0.10601702
mouse,horse,shark,pigeon,snail,tiger,ant,dog,duck,0.644495653
monkey,frog,cat,dog,snake,horse,pigeon,owl,sheep,0.198884259
butterfly,ladybug,bluebird,giraffe,elephant,dolphin,hog,goat,duck,0.762596421
frog,mouse,crocodile,rat,bluebird,goat,butterfly,fox,eagle,0.343852681
goldfish,shark,dolphin,snake,eagle,snail,turkey,frog,ladybug,0.453927941
owl,horse,fox,tiger,crocodile,pigeon,bluebird,turtle,shark,0.226347132
mouse,dolphin,snake,frog,goldfish,whale,giraffe,cow,rat,0.263500281
elephant,snake,cow,goldfish,horse,pigeon,fox,duck,spider,0.224153005
elephant,eagle,sparrow,goat,crocodile,owl,ant,turtle,rat,0.666770835
monkey,rat,tiger,fox,ant,cow,duck,giraffe,shark,0.493888958
frog,duck,sparrow,turkey,bat,hog,cat,ant,bear,0.722251737
cow,tiger,eagle,lizard,turkey,sparrow,rat,goldfish,frog,0.406581346
fox,bluebird,dolphin,bear,giraffe,goldfish,pigeon,goat,tiger,0.425856528
monkey,mouse,fox,elephant,giraffe,goat,turkey,lizard,goldfish,0.16014424
owl,fox,whale,hog,horse,snake,goat,duck,bat,0.916454898
rat,crocodile,goldfish,owl,duck,monkey,ladybug,dolphin,turtle,0.920093972
eagle,dog,ladybug,lizard,shark,monkey,frog,goldfish,turtle,0.931476739
snail,whale,bear,butterfly,bat,hog,elephant,eagle,snake,0.465256581
sheep,dolphin,hog,snake,frog,spider,owl,monkey,turtle,0.301201705
hog,eagle,shark,turtle,bat,monkey,giraffe,crocodile,snake,0.788577047
eagle,pigeon,butterfly,cat,mouse,goat,hog,duck,whale,0.218120276
bear,butterfly,cat,frog,pigeon,goat,goldfish,snail,bat,0.112315116
hog,elephant,cat,snail,mouse,owl,bluebird,sparrow,bear,0.374254397
dog,crocodile,snake,spider,sheep,horse,turkey,snail,duck,0.661335935
goat,bear,ant,whale,eagle,cow,ladybug,turtle,hog,0.620428823
bat,crocodile,lizard,snake,turtle,rat,sheep,fox,snail,0.159652038
pigeon,ant,cat,dolphin,snail,rat,goldfish,spider,cow,0.748609551
sheep,owl,cat,snake,shark,elephant,bluebird,tiger,mouse,0.564367582
