ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
sheep,pigeon,ladybug,bat,cow,snail,crocodile,sparrow,bear,"['stim4', 'stim8', 'stim3', 'stim6', 'stim7', 'stim1', 'stim2', 'stim5']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
cow,elephant,turtle,crocodile,bluebird,mouse,giraffe,whale,owl,"['stim6', 'stim5', 'stim1', 'stim2', 'stim3', 'stim7', 'stim8', 'stim4']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
butterfly,frog,ladybug,fox,goldfish,mouse,eagle,duck,cow,"['stim2', 'stim6', 'stim7', 'stim4', 'stim1', 'stim5', 'stim3', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
crocodile,butterfly,frog,bear,tiger,cow,turkey,duck,sparrow,"['stim2', 'stim7', 'stim3', 'stim4', 'stim5', 'stim6', 'stim8', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
ladybug,eagle,spider,bear,duck,elephant,whale,tiger,goat,"['stim2', 'stim4', 'stim1', 'stim8', 'stim3', 'stim7', 'stim6', 'stim5']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
bear,snail,goat,pigeon,butterfly,cat,frog,bat,goldfish,"['stim2', 'stim5', 'stim7', 'stim6', 'stim3', 'stim4', 'stim1', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
frog,owl,snake,hog,tiger,snail,dog,cow,cat,"['stim5', 'stim2', 'stim3', 'stim6', 'stim8', 'stim7', 'stim4', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
pigeon,spider,rat,snail,ant,cat,dolphin,cow,goldfish,"['stim2', 'stim5', 'stim7', 'stim3', 'stim4', 'stim1', 'stim6', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
sparrow,cat,hog,turtle,dog,turkey,pigeon,goat,shark,"['stim6', 'stim5', 'stim1', 'stim4', 'stim7', 'stim2', 'stim3', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
snake,giraffe,cow,dog,snail,elephant,frog,bear,shark,"['stim6', 'stim4', 'stim5', 'stim8', 'stim3', 'stim2', 'stim7', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
cat,pigeon,bat,bluebird,lizard,owl,whale,ladybug,rat,"['stim8', 'stim2', 'stim6', 'stim4', 'stim1', 'stim3', 'stim5', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
tiger,eagle,turtle,lizard,goat,snake,fox,ant,pigeon,"['stim6', 'stim4', 'stim3', 'stim2', 'stim8', 'stim7', 'stim5', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
bat,shark,whale,frog,spider,giraffe,goldfish,dog,hog,"['stim7', 'stim8', 'stim5', 'stim3', 'stim2', 'stim6', 'stim4', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
eagle,snake,dog,horse,fox,owl,elephant,ant,ladybug,"['stim5', 'stim8', 'stim4', 'stim2', 'stim3', 'stim7', 'stim6', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
tiger,cat,owl,shark,mouse,frog,pigeon,snail,lizard,"['stim1', 'stim3', 'stim4', 'stim8', 'stim5', 'stim2', 'stim6', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
lizard,bat,turkey,shark,frog,turtle,sparrow,snake,crocodile,"['stim8', 'stim7', 'stim4', 'stim5', 'stim3', 'stim1', 'stim2', 'stim6']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
shark,pigeon,whale,frog,owl,sheep,cat,spider,rat,"['stim2', 'stim3', 'stim7', 'stim8', 'stim5', 'stim6', 'stim4', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
giraffe,dog,sheep,elephant,cow,spider,snail,bear,hog,"['stim3', 'stim4', 'stim7', 'stim2', 'stim1', 'stim8', 'stim5', 'stim6']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
giraffe,crocodile,shark,cow,goldfish,pigeon,tiger,bear,eagle,"['stim7', 'stim3', 'stim6', 'stim1', 'stim5', 'stim8', 'stim4', 'stim2']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
rat,duck,fox,bluebird,tiger,crocodile,lizard,dog,sparrow,"['stim7', 'stim2', 'stim4', 'stim5', 'stim6', 'stim8', 'stim3', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
eagle,goldfish,monkey,shark,dog,ladybug,lizard,turtle,frog,"['stim5', 'stim2', 'stim4', 'stim6', 'stim8', 'stim7', 'stim1', 'stim3']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
snake,tiger,duck,dog,frog,bat,goat,goldfish,owl,"['stim4', 'stim7', 'stim2', 'stim8', 'stim5', 'stim6', 'stim3', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
eagle,sheep,pigeon,crocodile,dolphin,rat,mouse,giraffe,bear,"['stim2', 'stim3', 'stim6', 'stim8', 'stim7', 'stim1', 'stim5', 'stim4']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
tiger,whale,dog,bat,dolphin,sparrow,ant,crocodile,fox,"['stim8', 'stim2', 'stim7', 'stim1', 'stim3', 'stim4', 'stim6', 'stim5']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
cow,butterfly,cat,horse,giraffe,owl,ant,bear,hog,"['stim8', 'stim3', 'stim7', 'stim2', 'stim4', 'stim6', 'stim1', 'stim5']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
monkey,whale,snail,eagle,sheep,pigeon,bluebird,butterfly,spider,"['stim4', 'stim1', 'stim3', 'stim5', 'stim6', 'stim2', 'stim8', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
monkey,owl,horse,snake,frog,cat,dog,sheep,pigeon,"['stim6', 'stim5', 'stim2', 'stim7', 'stim1', 'stim4', 'stim8', 'stim3']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
goldfish,duck,pigeon,cow,dog,lizard,goat,giraffe,tiger,"['stim5', 'stim1', 'stim4', 'stim3', 'stim8', 'stim7', 'stim6', 'stim2']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
butterfly,whale,crocodile,shark,bat,turkey,monkey,lizard,turtle,"['stim4', 'stim5', 'stim7', 'stim8', 'stim2', 'stim6', 'stim1', 'stim3']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
bear,spider,snake,bat,cow,fox,goat,whale,shark,"['stim5', 'stim4', 'stim6', 'stim3', 'stim8', 'stim2', 'stim1', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
