ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
whale,duck,ant,butterfly,dolphin,lizard,cow,owl,shark,"['stim4', 'stim8', 'stim6', 'stim5', 'stim1', 'stim2', 'stim7', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
shark,crocodile,sparrow,monkey,bat,giraffe,butterfly,fox,mouse,"['stim1', 'stim7', 'stim3', 'stim5', 'stim4', 'stim8', 'stim2', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
hog,spider,snake,crocodile,cow,elephant,bluebird,ant,dog,"['stim4', 'stim8', 'stim5', 'stim3', 'stim7', 'stim1', 'stim2', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
turtle,bear,ladybug,eagle,owl,dog,monkey,lizard,sheep,"['stim7', 'stim2', 'stim5', 'stim8', 'stim1', 'stim6', 'stim3', 'stim4']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
sheep,snake,tiger,elephant,owl,shark,mouse,bluebird,cat,"['stim8', 'stim6', 'stim2', 'stim3', 'stim1', 'stim4', 'stim5', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
horse,sparrow,monkey,pigeon,bear,snake,elephant,cow,dolphin,"['stim6', 'stim7', 'stim8', 'stim2', 'stim4', 'stim3', 'stim1', 'stim5']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
mouse,dolphin,bluebird,sheep,owl,snake,fox,turtle,monkey,"['stim7', 'stim2', 'stim3', 'stim6', 'stim8', 'stim4', 'stim1', 'stim5']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
ladybug,cat,lizard,ant,shark,bluebird,bat,goldfish,owl,"['stim3', 'stim2', 'stim6', 'stim7', 'stim5', 'stim8', 'stim1', 'stim4']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
frog,turkey,ant,hog,duck,bat,bear,cat,sparrow,"['stim3', 'stim4', 'stim2', 'stim5', 'stim7', 'stim8', 'stim1', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
snake,frog,giraffe,cow,snail,dog,bear,shark,elephant,"['stim1', 'stim4', 'stim8', 'stim7', 'stim5', 'stim3', 'stim6', 'stim2']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
frog,snail,goldfish,fox,butterfly,sheep,spider,lizard,dog,"['stim7', 'stim1', 'stim2', 'stim6', 'stim8', 'stim5', 'stim3', 'stim4']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
lizard,dolphin,goat,goldfish,rat,tiger,whale,eagle,horse,"['stim4', 'stim1', 'stim6', 'stim3', 'stim2', 'stim8', 'stim5', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
giraffe,snail,dog,sheep,cow,elephant,bear,hog,spider,"['stim5', 'stim4', 'stim6', 'stim7', 'stim2', 'stim3', 'stim8', 'stim1']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
cow,goldfish,duck,frog,ladybug,shark,snake,pigeon,bat,"['stim8', 'stim2', 'stim3', 'stim7', 'stim4', 'stim6', 'stim5', 'stim1']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
fox,monkey,whale,duck,rat,dog,crocodile,cow,eagle,"['stim5', 'stim7', 'stim4', 'stim2', 'stim6', 'stim1', 'stim3', 'stim8']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
butterfly,cat,monkey,sparrow,dolphin,snake,horse,giraffe,whale,"['stim3', 'stim5', 'stim1', 'stim2', 'stim6', 'stim7', 'stim4', 'stim8']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
crocodile,dog,snake,spider,hog,turtle,horse,shark,fox,"['stim5', 'stim2', 'stim4', 'stim3', 'stim1', 'stim8', 'stim6', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
ant,duck,tiger,owl,elephant,bluebird,fox,goat,frog,"['stim8', 'stim7', 'stim6', 'stim2', 'stim4', 'stim1', 'stim5', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
owl,rat,dog,crocodile,turtle,cat,spider,giraffe,lizard,"['stim5', 'stim2', 'stim1', 'stim4', 'stim8', 'stim7', 'stim6', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
turtle,dolphin,ladybug,fox,monkey,bat,tiger,frog,mouse,"['stim7', 'stim2', 'stim8', 'stim5', 'stim4', 'stim1', 'stim3', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
cat,bat,ant,tiger,turkey,giraffe,snail,hog,bluebird,"['stim3', 'stim7', 'stim1', 'stim5', 'stim2', 'stim4', 'stim8', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
spider,snail,ant,dog,duck,mouse,turtle,giraffe,tiger,"['stim2', 'stim1', 'stim6', 'stim5', 'stim3', 'stim4', 'stim8', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
shark,dog,turkey,sparrow,goat,bear,whale,cat,monkey,"['stim6', 'stim5', 'stim1', 'stim7', 'stim8', 'stim4', 'stim2', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
elephant,bat,snake,mouse,dog,spider,bluebird,giraffe,monkey,"['stim7', 'stim4', 'stim3', 'stim1', 'stim8', 'stim5', 'stim2', 'stim6']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
eagle,dolphin,bluebird,bat,tiger,spider,rat,fox,owl,"['stim8', 'stim3', 'stim2', 'stim6', 'stim7', 'stim4', 'stim5', 'stim1']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
owl,hog,duck,snake,fox,horse,bat,goat,whale,"['stim2', 'stim6', 'stim7', 'stim1', 'stim4', 'stim5', 'stim3', 'stim8']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
sparrow,ladybug,owl,butterfly,goldfish,goat,dog,dolphin,fox,"['stim2', 'stim1', 'stim3', 'stim5', 'stim6', 'stim8', 'stim4', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
frog,rat,fox,goat,mouse,bluebird,eagle,butterfly,crocodile,"['stim1', 'stim4', 'stim8', 'stim3', 'stim2', 'stim6', 'stim7', 'stim5']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
goldfish,tiger,fox,owl,bear,rat,bat,giraffe,horse,"['stim5', 'stim6', 'stim2', 'stim8', 'stim7', 'stim1', 'stim4', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
bear,frog,snail,goat,butterfly,pigeon,bat,goldfish,cat,"['stim3', 'stim8', 'stim6', 'stim1', 'stim2', 'stim5', 'stim4', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
ant,bat,sheep,whale,lizard,dog,dolphin,mouse,shark,"['stim7', 'stim1', 'stim5', 'stim4', 'stim2', 'stim6', 'stim8', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
cow,crocodile,duck,goat,snail,sheep,shark,whale,spider,"['stim3', 'stim5', 'stim7', 'stim1', 'stim6', 'stim2', 'stim8', 'stim4']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
elephant,frog,crocodile,sheep,horse,pigeon,bear,turtle,dolphin,"['stim2', 'stim4', 'stim6', 'stim7', 'stim8', 'stim3', 'stim1', 'stim5']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
horse,fox,monkey,bat,eagle,mouse,tiger,cow,whale,"['stim8', 'stim2', 'stim6', 'stim1', 'stim7', 'stim5', 'stim3', 'stim4']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
snail,monkey,fox,ladybug,turkey,cat,duck,sparrow,pigeon,"['stim3', 'stim6', 'stim7', 'stim8', 'stim5', 'stim2', 'stim1', 'stim4']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
