ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
giraffe,snake,turkey,ant,dolphin,turtle,sparrow,owl,ladybug
horse,cat,snail,dolphin,rat,owl,turtle,pigeon,ladybug
giraffe,turkey,duck,monkey,bat,goat,pigeon,ladybug,crocodile
snail,crocodile,butterfly,hog,frog,shark,goat,giraffe,bluebird
bat,goat,goldfish,sparrow,bear,spider,dolphin,lizard,rat
snail,sheep,dolphin,horse,mouse,tiger,whale,turtle,snake
sheep,giraffe,lizard,pigeon,fox,eagle,ladybug,horse,whale
spider,shark,ladybug,duck,giraffe,monkey,frog,butterfly,rat
dolphin,tiger,ladybug,bat,bear,fox,goat,sheep,turtle
tiger,turtle,snake,goat,fox,eagle,lizard,pigeon,ant
crocodile,cow,sheep,pigeon,ladybug,goat,turkey,goldfish,dolphin
sparrow,ant,eagle,snail,monkey,lizard,bluebird,horse,rat
pigeon,bat,dolphin,dog,duck,monkey,butterfly,ant,sparrow
owl,snail,ladybug,goldfish,sheep,goat,whale,sparrow,mouse
snail,goat,dog,lizard,owl,goldfish,turkey,frog,sparrow
rat,pigeon,ant,giraffe,butterfly,elephant,snail,snake,bear
dolphin,hog,rat,mouse,crocodile,bat,snail,giraffe,ladybug
frog,snake,snail,tiger,dog,owl,hog,cat,cow
snake,cow,elephant,snail,frog,giraffe,dog,shark,bear
monkey,cow,tiger,rat,fox,giraffe,ant,duck,shark
snail,cat,tiger,dolphin,rat,spider,cow,monkey,ant
snake,spider,turtle,butterfly,ant,monkey,ladybug,sparrow,dolphin
bear,goat,cat,butterfly,frog,snail,pigeon,goldfish,bat
crocodile,frog,cow,tiger,turkey,butterfly,bear,sparrow,duck
mouse,fox,butterfly,monkey,bear,sparrow,lizard,hog,ladybug
dog,horse,snake,crocodile,spider,snail,sheep,turkey,duck
duck,owl,sheep,bluebird,horse,goat,whale,snail,bat
butterfly,turkey,snail,ant,bear,owl,sheep,tiger,crocodile
goat,whale,horse,cow,sheep,duck,spider,mouse,rat
