ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
hog,turtle,shark,snake,bat,eagle,crocodile,monkey,giraffe,"['stim7', 'stim8', 'stim2', 'stim6', 'stim5', 'stim1', 'stim3', 'stim4']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
whale,goat,frog,sparrow,tiger,bluebird,crocodile,snake,elephant,"['stim1', 'stim8', 'stim4', 'stim6', 'stim2', 'stim7', 'stim5', 'stim3']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
lizard,dog,fox,bear,hog,cow,bat,shark,snail,"['stim6', 'stim8', 'stim2', 'stim1', 'stim4', 'stim5', 'stim3', 'stim7']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
spider,turkey,horse,sheep,pigeon,snake,dolphin,owl,goldfish,"['stim5', 'stim4', 'stim7', 'stim8', 'stim1', 'stim3', 'stim2', 'stim6']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
bluebird,shark,cat,spider,dog,rat,monkey,snake,owl,"['stim8', 'stim3', 'stim7', 'stim5', 'stim2', 'stim4', 'stim6', 'stim1']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
ant,bat,shark,dolphin,dog,lizard,sheep,whale,mouse,"['stim5', 'stim1', 'stim8', 'stim4', 'stim6', 'stim3', 'stim2', 'stim7']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
fox,eagle,snake,bluebird,pigeon,dog,frog,sparrow,horse,"['stim5', 'stim8', 'stim7', 'stim4', 'stim3', 'stim6', 'stim2', 'stim1']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
sheep,fox,lizard,whale,ladybug,pigeon,eagle,giraffe,horse,"['stim8', 'stim7', 'stim1', 'stim2', 'stim3', 'stim5', 'stim6', 'stim4']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
giraffe,mouse,whale,hog,lizard,rat,cat,frog,sheep,"['stim8', 'stim6', 'stim5', 'stim1', 'stim3', 'stim4', 'stim7', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
turkey,monkey,duck,bat,tiger,eagle,horse,ant,ladybug,"['stim2', 'stim5', 'stim1', 'stim4', 'stim6', 'stim3', 'stim8', 'stim7']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
ladybug,crocodile,bluebird,horse,goldfish,turkey,butterfly,cow,sparrow,"['stim6', 'stim8', 'stim2', 'stim5', 'stim4', 'stim3', 'stim7', 'stim1']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
dolphin,owl,whale,monkey,butterfly,eagle,pigeon,elephant,lizard,"['stim2', 'stim7', 'stim3', 'stim8', 'stim5', 'stim1', 'stim6', 'stim4']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
dog,elephant,bat,goat,turkey,butterfly,whale,hog,crocodile,"['stim7', 'stim3', 'stim4', 'stim1', 'stim6', 'stim8', 'stim5', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
bluebird,goldfish,dolphin,turtle,bat,frog,fox,crocodile,hog,"['stim4', 'stim6', 'stim8', 'stim5', 'stim3', 'stim1', 'stim7', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
butterfly,cat,whale,horse,snake,dolphin,monkey,sparrow,giraffe,"['stim7', 'stim4', 'stim1', 'stim6', 'stim3', 'stim8', 'stim5', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
bat,bear,goldfish,rat,dolphin,sparrow,spider,goat,lizard,"['stim3', 'stim5', 'stim6', 'stim8', 'stim2', 'stim7', 'stim1', 'stim4']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
mouse,duck,cat,eagle,snail,goat,butterfly,crocodile,lizard,"['stim8', 'stim4', 'stim2', 'stim5', 'stim1', 'stim3', 'stim6', 'stim7']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
sheep,dog,hog,rat,dolphin,turkey,horse,goat,fox,"['stim7', 'stim1', 'stim2', 'stim8', 'stim6', 'stim5', 'stim3', 'stim4']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
cow,ant,owl,bear,horse,giraffe,butterfly,cat,hog,"['stim4', 'stim8', 'stim3', 'stim5', 'stim7', 'stim2', 'stim6', 'stim1']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
frog,elephant,dolphin,eagle,monkey,ladybug,whale,shark,rat,"['stim2', 'stim7', 'stim6', 'stim5', 'stim8', 'stim4', 'stim1', 'stim3']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
fox,cat,ant,elephant,mouse,hog,sheep,spider,snail,"['stim1', 'stim5', 'stim6', 'stim4', 'stim3', 'stim8', 'stim7', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
