ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
tiger,ant,sparrow,crocodile,bat,dolphin,whale,dog,fox,"['stim8', 'stim7', 'stim6', 'stim5', 'stim3', 'stim2', 'stim4', 'stim1']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
fox,duck,spider,crocodile,turkey,owl,snail,butterfly,shark,"['stim1', 'stim4', 'stim5', 'stim3', 'stim8', 'stim6', 'stim7', 'stim2']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
frog,turkey,sparrow,bear,bat,duck,ant,hog,cat,"['stim2', 'stim5', 'stim4', 'stim1', 'stim8', 'stim7', 'stim3', 'stim6']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
shark,dog,monkey,whale,bear,goat,turkey,sparrow,cat,"['stim3', 'stim4', 'stim2', 'stim5', 'stim1', 'stim8', 'stim6', 'stim7']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
ladybug,turtle,snake,frog,monkey,giraffe,dog,elephant,whale,"['stim3', 'stim1', 'stim2', 'stim6', 'stim5', 'stim7', 'stim4', 'stim8']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
crocodile,turkey,cow,duck,bear,tiger,butterfly,frog,sparrow,"['stim7', 'stim1', 'stim5', 'stim4', 'stim3', 'stim2', 'stim8', 'stim6']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
giraffe,bat,duck,crocodile,pigeon,monkey,goat,turkey,ladybug,"['stim5', 'stim6', 'stim3', 'stim7', 'stim2', 'stim4', 'stim1', 'stim8']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
dolphin,bear,ladybug,turtle,goat,bat,fox,tiger,sheep,"['stim1', 'stim8', 'stim4', 'stim7', 'stim6', 'stim3', 'stim5', 'stim2']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
ant,duck,frog,fox,bluebird,elephant,tiger,owl,goat,"['stim2', 'stim1', 'stim7', 'stim4', 'stim3', 'stim8', 'stim6', 'stim5']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
elephant,bat,monkey,bluebird,spider,dog,snake,mouse,giraffe,"['stim8', 'stim2', 'stim5', 'stim3', 'stim6', 'stim7', 'stim1', 'stim4']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
dog,cow,ladybug,giraffe,lizard,owl,tiger,pigeon,monkey,"['stim1', 'stim8', 'stim3', 'stim6', 'stim5', 'stim7', 'stim4', 'stim2']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
dog,elephant,bat,goat,turkey,butterfly,whale,hog,crocodile,"['stim7', 'stim3', 'stim1', 'stim4', 'stim8', 'stim6', 'stim2', 'stim5']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
snail,rat,tiger,ant,cow,dolphin,spider,cat,monkey,"['stim6', 'stim1', 'stim3', 'stim7', 'stim2', 'stim4', 'stim8', 'stim5']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
eagle,dolphin,owl,rat,spider,tiger,bluebird,bat,fox,"['stim2', 'stim6', 'stim7', 'stim8', 'stim3', 'stim5', 'stim1', 'stim4']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
sheep,snake,cat,mouse,shark,owl,tiger,elephant,bluebird,"['stim6', 'stim7', 'stim2', 'stim5', 'stim8', 'stim3', 'stim1', 'stim4']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
crocodile,lizard,whale,elephant,giraffe,cat,rat,sparrow,duck,"['stim1', 'stim8', 'stim4', 'stim3', 'stim2', 'stim5', 'stim6', 'stim7']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
dog,lizard,eagle,elephant,bluebird,bear,giraffe,frog,butterfly,"['stim6', 'stim5', 'stim3', 'stim4', 'stim2', 'stim1', 'stim7', 'stim8']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
giraffe,snail,spider,bear,elephant,cow,dog,sheep,hog,"['stim4', 'stim7', 'stim8', 'stim5', 'stim3', 'stim6', 'stim1', 'stim2']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
fox,cat,ant,elephant,mouse,hog,sheep,spider,snail,"['stim1', 'stim5', 'stim6', 'stim3', 'stim4', 'stim8', 'stim7', 'stim2']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
turkey,turtle,pigeon,bat,giraffe,cat,ant,shark,bluebird,"['stim2', 'stim8', 'stim3', 'stim1', 'stim5', 'stim4', 'stim7', 'stim6']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
hog,goat,frog,pigeon,whale,dolphin,duck,lizard,horse,"['stim1', 'stim8', 'stim6', 'stim3', 'stim5', 'stim4', 'stim2', 'stim7']",S7,7,2020_Jun_01_1607,word_exp,2020.1.0,None
