ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,
bear,cat,ant,lizard,owl,horse,pigeon,sparrow,giraffe,0.27221501
shark,horse,elephant,snail,frog,eagle,snake,spider,hog,0.568915983
shark,crocodile,mouse,butterfly,giraffe,bat,sparrow,monkey,fox,0.491135784
sheep,ant,bluebird,butterfly,duck,cow,goldfish,elephant,bat,0.114284642
giraffe,mouse,whale,hog,lizard,rat,cat,frog,sheep,0.497006524
duck,fox,monkey,sparrow,dog,ladybug,snake,hog,shark,0.292923029
turtle,whale,rat,sheep,lizard,duck,pigeon,goldfish,cat,0.543864523
sheep,snake,hog,turtle,frog,dolphin,monkey,spider,owl,0.728792151
ladybug,shark,dolphin,hog,duck,mouse,eagle,fox,cat,0.251695277
hog,turtle,shark,snake,bat,eagle,crocodile,monkey,giraffe,0.423998195
crocodile,rat,ant,snake,giraffe,bluebird,snail,horse,owl,0.869812654
bear,duck,turkey,mouse,bluebird,turtle,hog,sheep,dolphin,0.122045243
sparrow,pigeon,turkey,goat,turtle,dog,cat,hog,shark,0.902164596
mouse,frog,snake,rat,goldfish,dolphin,cow,whale,giraffe,0.653229769
monkey,dog,horse,bat,turtle,ant,dolphin,crocodile,duck,0.709361116
frog,turtle,pigeon,ant,giraffe,whale,horse,dolphin,duck,0.162249482
turtle,cow,ant,cat,snake,elephant,snail,duck,sparrow,0.015997481
spider,fox,bluebird,mouse,bat,sparrow,goat,dog,elephant,0.897928929
whale,duck,shark,cow,lizard,dolphin,ant,butterfly,owl,0.228936783
rat,lizard,crocodile,dog,bluebird,tiger,duck,fox,sparrow,0.84762425
whale,goat,frog,sparrow,tiger,bluebird,crocodile,snake,elephant,0.617648304
dog,snail,shark,horse,sparrow,goldfish,rat,fox,turtle,0.366019409
whale,spider,mouse,turkey,dog,owl,hog,shark,turtle,0.289452664
bat,goldfish,giraffe,dog,frog,spider,shark,whale,hog,0.885806879
horse,rat,snail,ladybug,turtle,dolphin,owl,cat,pigeon,0.665126132
ladybug,cat,owl,bat,bluebird,shark,lizard,ant,goldfish,0.793155398
fox,eagle,snake,bluebird,pigeon,dog,frog,sparrow,horse,0.130777111
mouse,dolphin,monkey,fox,snake,owl,bluebird,sheep,turtle,0.008984507
pigeon,dolphin,cat,cow,snail,ant,spider,rat,goldfish,0.323582504
bat,snake,lizard,snail,turtle,crocodile,fox,rat,sheep,0.373829243
mouse,pigeon,shark,duck,snail,horse,dog,tiger,ant,0.312837056
turtle,bear,sheep,monkey,dog,owl,ladybug,eagle,lizard,0.59988528
goat,snail,elephant,bat,giraffe,sheep,sparrow,dolphin,spider,0.155067049
goat,monkey,snake,shark,fox,tiger,lizard,dog,pigeon,0.139552824
owl,frog,mouse,elephant,sparrow,turkey,cow,eagle,ant,0.709611622
goat,crocodile,bluebird,cat,snake,bear,butterfly,turtle,shark,0.101338433
horse,duck,spider,butterfly,ant,turkey,sheep,goldfish,hog,0.965280711
cat,bat,bluebird,snail,giraffe,turkey,ant,tiger,hog,0.807612604
turtle,bluebird,crocodile,giraffe,elephant,turkey,goat,cow,shark,0.469823061
monkey,elephant,fox,goldfish,giraffe,mouse,lizard,goat,turkey,0.743014117
duck,dog,cow,spider,crocodile,mouse,giraffe,turtle,shark,0.225871818
crocodile,eagle,fox,monkey,dolphin,pigeon,dog,bat,mouse,0.444040776
whale,hog,bluebird,bat,spider,giraffe,tiger,pigeon,snail,0.42675818
pigeon,duck,dolphin,sparrow,butterfly,dog,monkey,bat,ant,0.182695029
giraffe,tiger,pigeon,bear,cow,goldfish,crocodile,shark,eagle,0.568161415
duck,horse,sheep,bat,whale,bluebird,goat,owl,snail,0.187213693
cow,crocodile,spider,shark,sheep,snail,duck,goat,whale,0.189379033
rat,snake,spider,sheep,butterfly,goat,cat,shark,turkey,0.031822607
tiger,fox,snake,ant,lizard,goat,eagle,turtle,pigeon,0.261853186
hog,snail,cat,bear,mouse,elephant,sparrow,owl,bluebird,0.38002797
ant,snail,dog,sparrow,cow,cat,hog,whale,monkey,0.05966291
spider,snail,tiger,turtle,mouse,duck,ant,dog,giraffe,0.489397231
bear,frog,cat,bat,pigeon,butterfly,snail,goat,goldfish,0.216082341
snake,goat,bat,goldfish,dog,frog,tiger,duck,owl,0.263598742
hog,spider,dog,bluebird,elephant,cow,snake,crocodile,ant,0.149856469
bluebird,goldfish,dolphin,turtle,bat,frog,fox,crocodile,hog,0.944145177
rat,owl,goldfish,turtle,duck,crocodile,dolphin,monkey,ladybug,0.136172811
dolphin,owl,whale,monkey,butterfly,eagle,pigeon,elephant,lizard,0.48314759
eagle,turkey,cow,sparrow,cat,hog,turtle,snail,frog,0.435835256
elephant,frog,dolphin,bear,pigeon,horse,crocodile,sheep,turtle,0.991744218
dolphin,cow,shark,frog,sparrow,monkey,horse,whale,snake,0.988688447
butterfly,monkey,turkey,lizard,shark,bat,whale,crocodile,turtle,0.261885782
owl,rat,lizard,spider,cat,turtle,dog,crocodile,giraffe,0.150243109
horse,turkey,crocodile,sheep,turtle,giraffe,goat,owl,bluebird,0.633319561
horse,shark,butterfly,lizard,tiger,duck,dog,mouse,frog,0.535556245
whale,horse,dolphin,rat,sheep,eagle,fox,cat,ant,0.947066385
dog,dolphin,monkey,pigeon,turtle,cat,mouse,ant,shark,0.089538756
cow,giraffe,mouse,whale,crocodile,bluebird,elephant,turtle,owl,0.542922993
elephant,goldfish,cow,spider,horse,snake,duck,pigeon,fox,0.255712926
turkey,butterfly,snail,cat,sheep,owl,giraffe,snake,mouse,0.226820882
duck,monkey,snail,goat,fox,dolphin,cat,elephant,rat,0.295989558
snail,frog,butterfly,bluebird,goat,hog,shark,crocodile,giraffe,0.336779649
tiger,frog,bluebird,bear,duck,butterfly,owl,turkey,spider,0.684057975
bat,eagle,pigeon,cow,ant,owl,cat,monkey,elephant,0.474806425
cat,whale,owl,ladybug,bluebird,lizard,pigeon,bat,rat,0.977254335
frog,dog,snail,cow,hog,tiger,owl,snake,cat,0.828929545
horse,fox,whale,tiger,mouse,eagle,monkey,bat,cow,0.832592889
sheep,crocodile,snail,sparrow,bat,cow,pigeon,ladybug,bear,0.787171075
turkey,elephant,lizard,goldfish,bear,crocodile,fox,hog,cow,0.286801369
fox,ladybug,dolphin,bat,ant,goat,turtle,cat,lizard,0.474638018
sparrow,lizard,cow,frog,ant,sheep,tiger,duck,crocodile,0.561073433
sheep,dog,hog,rat,dolphin,turkey,horse,goat,fox,0.213441231
shark,cat,sheep,spider,frog,owl,pigeon,whale,rat,0.297292647
goldfish,ant,mouse,elephant,whale,ladybug,turkey,turtle,butterfly,0.523680188
dolphin,eagle,dog,pigeon,hog,snail,turkey,cat,goldfish,0.072676274
turkey,horse,monkey,whale,spider,frog,hog,rat,bear,0.93725163
ladybug,whale,elephant,tiger,bear,duck,eagle,spider,goat,0.255753575
lizard,sparrow,turtle,snake,shark,frog,bat,turkey,crocodile,0.013771265
goat,whale,ant,hog,eagle,bear,turtle,cow,ladybug,0.704416129
snail,owl,dog,sparrow,turkey,lizard,goldfish,goat,frog,0.875180141
giraffe,dolphin,turkey,ladybug,sparrow,ant,turtle,snake,owl,0.378075044
bear,horse,turkey,giraffe,monkey,tiger,rat,hog,ladybug,0.872017053
sparrow,giraffe,bear,snake,dolphin,bat,tiger,sheep,goldfish,0.609921716
ant,bat,shark,dolphin,dog,lizard,sheep,whale,mouse,0.260310614
bluebird,snail,mouse,ladybug,ant,duck,giraffe,goat,eagle,0.073675128
pigeon,crocodile,bear,bluebird,turkey,elephant,mouse,owl,shark,0.396879836
frog,elephant,dolphin,eagle,monkey,ladybug,whale,shark,rat,0.74896396
spider,giraffe,ladybug,rat,frog,duck,monkey,shark,butterfly,0.963208697
lizard,duck,mouse,bluebird,sheep,snake,frog,butterfly,monkey,0.711634731
ladybug,crocodile,bluebird,horse,goldfish,turkey,butterfly,cow,sparrow,0.937265738
cow,monkey,bear,dolphin,tiger,dog,ant,fox,eagle,0.164532573
ant,turkey,bluebird,bear,turtle,lizard,dolphin,frog,crocodile,0.926915792
fox,bear,dolphin,tiger,giraffe,bluebird,goat,goldfish,pigeon,0.491633654
monkey,fox,tiger,shark,ant,rat,giraffe,cow,duck,0.869019059
mouse,turkey,giraffe,bat,ant,elephant,frog,dog,spider,0.880373799
tiger,horse,giraffe,goldfish,hog,rat,turkey,bear,monkey,0.786710597
frog,rat,crocodile,eagle,bluebird,mouse,fox,goat,butterfly,0.477153626
lizard,pigeon,cat,owl,dolphin,mouse,tiger,duck,ladybug,0.388068186
monkey,goat,bear,ladybug,sparrow,whale,lizard,snail,hog,0.724278566
goat,sheep,horse,rat,spider,cow,duck,whale,mouse,0.822083735
sparrow,ladybug,fox,dog,goat,goldfish,owl,butterfly,dolphin,0.78884787
