ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
dolphin,horse,rat,shark,mouse,turtle,snake,cow,goat
dolphin,rat,duck,whale,ladybug,monkey,shark,elephant,sheep
dolphin,butterfly,spider,fox,cat,pigeon,monkey,lizard,duck
dolphin,pigeon,spider,giraffe,bear,eagle,owl,hog,snail
dolphin,owl,bluebird,frog,tiger,turkey,snail,sparrow,goldfish
dolphin,dog,bat,ant,goat,turtle,crocodile,goldfish,bluebird
goldfish,cat,lizard,turkey,duck,bluebird,cow,butterfly,whale
goldfish,giraffe,monkey,eagle,fox,bluebird,mouse,sheep,duck
goldfish,giraffe,crocodile,turtle,goat,bear,ant,spider,mouse
goldfish,tiger,dolphin,frog,goat,ant,hog,horse,rat
goldfish,bat,dog,frog,snail,snake,ladybug,pigeon,rat
goldfish,cat,shark,lizard,sparrow,owl,dog,ladybug,elephant
shark,rat,bluebird,tiger,whale,horse,sparrow,elephant,hog
shark,elephant,ladybug,giraffe,cow,eagle,fox,bat,whale
shark,ladybug,ant,butterfly,turtle,dog,turkey,frog,bat
shark,frog,bear,duck,goldfish,crocodile,dolphin,pigeon,turkey
shark,pigeon,monkey,duck,snake,spider,sheep,owl,mouse
shark,horse,lizard,goat,snail,tiger,cat,monkey,mouse
whale,tiger,spider,cow,goldfish,turtle,sparrow,duck,sheep
whale,bat,elephant,ant,sparrow,snail,sheep,owl,monkey
whale,ladybug,hog,snake,pigeon,bluebird,monkey,snail,horse
whale,giraffe,bear,mouse,bluebird,rat,shark,cat,hog
whale,giraffe,goat,fox,bear,dolphin,dog,lizard,crocodile
whale,turkey,fox,frog,tiger,lizard,eagle,butterfly,turtle
bluebird,elephant,snake,cow,mouse,bat,ladybug,horse,giraffe
bluebird,snake,dog,owl,giraffe,crocodile,sheep,frog,spider
bluebird,turkey,hog,monkey,crocodile,dog,shark,sparrow,fox
bluebird,bear,pigeon,monkey,goldfish,snail,lizard,rat,hog
bluebird,ant,tiger,turtle,lizard,cat,dolphin,goat,pigeon
bluebird,whale,turtle,elephant,butterfly,ladybug,duck,tiger,eagle
duck,turkey,monkey,dog,bat,sparrow,sheep,crocodile,bluebird
duck,snail,sparrow,rat,ladybug,frog,hog,lizard,dog
duck,snake,shark,frog,eagle,ladybug,elephant,mouse,butterfly
duck,goldfish,whale,horse,snake,spider,tiger,cat,elephant
duck,fox,giraffe,horse,owl,whale,cow,goat,pigeon
duck,sheep,pigeon,bluebird,turtle,dolphin,bear,goat,ant
eagle,pigeon,bat,monkey,sheep,snail,mouse,snake,tiger
eagle,goldfish,ant,dog,turtle,fox,snail,horse,tiger
eagle,turtle,bear,duck,dolphin,butterfly,frog,fox,sparrow
eagle,hog,frog,butterfly,shark,goat,owl,ladybug,crocodile
eagle,ladybug,whale,turkey,goat,rat,bluebird,spider,elephant
eagle,whale,pigeon,sheep,cow,giraffe,cat,spider,lizard
owl,snail,butterfly,elephant,sparrow,ant,whale,spider,goldfish
owl,snake,dog,goat,rat,mouse,snail,bat,ant
owl,shark,mouse,cat,eagle,giraffe,frog,pigeon,bat
owl,frog,turkey,fox,tiger,bluebird,sheep,ladybug,cat
owl,lizard,cow,bear,monkey,fox,duck,horse,ladybug
owl,duck,hog,whale,cow,spider,dolphin,turtle,crocodile
pigeon,sparrow,bat,frog,snail,crocodile,turkey,owl,bear
pigeon,cat,bear,ladybug,monkey,dolphin,lizard,mouse,snail
pigeon,duck,turtle,bluebird,mouse,ant,fox,butterfly,cat
pigeon,goldfish,hog,tiger,goat,horse,rat,duck,ant
pigeon,snake,goldfish,giraffe,eagle,dog,goat,sheep,cow
pigeon,shark,owl,turkey,cow,spider,whale,eagle,elephant
sparrow,turtle,hog,lizard,bluebird,duck,ant,ladybug,dog
sparrow,cat,duck,horse,sheep,monkey,ladybug,turkey,dolphin
sparrow,pigeon,bear,snake,turkey,elephant,cat,giraffe,whale
sparrow,goldfish,mouse,shark,crocodile,bear,spider,eagle,whale
sparrow,fox,goat,goldfish,snail,spider,butterfly,cow,tiger
sparrow,ant,butterfly,rat,bat,frog,owl,snail,bluebird
turkey,goat,cow,duck,lizard,eagle,hog,shark,owl
turkey,dog,cow,spider,snail,duck,bear,tiger,whale
turkey,snail,butterfly,mouse,frog,cat,whale,goldfish,snake
turkey,sheep,elephant,bat,sparrow,turtle,butterfly,monkey,frog
turkey,pigeon,turtle,rat,ladybug,crocodile,giraffe,monkey,bluebird
turkey,ant,dolphin,pigeon,horse,shark,giraffe,fox,lizard
mouse,bluebird,dolphin,tiger,butterfly,duck,horse,spider,ladybug
mouse,horse,fox,rat,ant,giraffe,frog,turtle,butterfly
mouse,snail,cat,sheep,giraffe,lizard,fox,snake,turkey
mouse,goldfish,owl,lizard,sparrow,turkey,whale,shark,elephant
mouse,owl,eagle,shark,dog,cow,bear,bat,monkey
mouse,hog,crocodile,spider,dog,pigeon,duck,bat,goat
rat,giraffe,sparrow,cow,whale,owl,frog,snail,hog
rat,turkey,mouse,monkey,snail,dolphin,fox,horse,hog
rat,pigeon,turkey,snake,ladybug,spider,horse,goat,tiger
rat,eagle,cat,lizard,shark,spider,ant,snake,butterfly
rat,bluebird,eagle,duck,sheep,shark,elephant,crocodile,goldfish
rat,goldfish,bear,owl,dog,bat,sparrow,turtle,crocodile
bat,fox,ant,rat,dolphin,crocodile,ladybug,spider,shark
bat,turkey,snail,whale,rat,bluebird,sheep,elephant,spider
bat,snail,whale,goat,turtle,dog,frog,snake,duck
bat,eagle,duck,bear,lizard,frog,sparrow,hog,horse
bat,tiger,cat,lizard,cow,hog,goldfish,owl,pigeon
bat,fox,monkey,pigeon,mouse,cow,giraffe,ladybug,butterfly
bear,snail,spider,hog,snake,turkey,bat,crocodile,cow
bear,whale,tiger,dolphin,bat,horse,elephant,bluebird,snail
bear,ladybug,bluebird,fox,frog,mouse,horse,giraffe,rat
bear,monkey,cat,ladybug,goldfish,ant,turtle,owl,giraffe
bear,sparrow,eagle,turtle,sheep,ant,shark,lizard,dog
bear,duck,lizard,goat,butterfly,pigeon,sheep,turkey,crocodile
cat,mouse,cow,bat,goldfish,turkey,snake,sparrow,crocodile
cat,ladybug,bat,shark,sparrow,dolphin,horse,hog,sheep
cat,spider,dog,hog,turtle,elephant,monkey,ladybug,owl
cat,ant,tiger,bluebird,fox,monkey,rat,turtle,butterfly
cat,rat,snail,frog,ant,pigeon,bear,giraffe,eagle
cat,goat,frog,whale,snake,duck,lizard,eagle,cow
dog,sheep,lizard,elephant,duck,turtle,frog,ladybug,mouse
dog,dolphin,pigeon,whale,lizard,mouse,goat,crocodile,shark
dog,fox,whale,giraffe,turkey,monkey,goat,bear,hog
dog,tiger,snake,eagle,monkey,butterfly,giraffe,bat,cat
dog,cow,horse,ant,bat,spider,snail,sparrow,tiger
dog,horse,bluebird,ant,goldfish,owl,sheep,ladybug,rat
fox,duck,bluebird,sheep,elephant,rat,eagle,mouse,monkey
fox,tiger,sheep,pigeon,spider,butterfly,snake,elephant,cat
fox,shark,snake,whale,goldfish,butterfly,ladybug,crocodile,cow
fox,turkey,dog,ladybug,crocodile,giraffe,hog,sparrow,owl
fox,dog,turtle,frog,horse,goat,sparrow,dolphin,lizard
fox,duck,turtle,ant,monkey,bear,dolphin,bat,snail
goat,ant,sparrow,tiger,elephant,butterfly,pigeon,ladybug,snake
goat,hog,butterfly,lizard,bear,sheep,sparrow,fox,cow
goat,cat,lizard,turtle,bluebird,hog,shark,whale,bat
goat,eagle,rat,bat,giraffe,mouse,goldfish,whale,monkey
goat,owl,horse,rat,dolphin,frog,snail,monkey,spider
goat,crocodile,frog,snake,turkey,dog,horse,duck,ant
sheep,dolphin,turkey,frog,bluebird,eagle,ant,pigeon,shark
sheep,lizard,dolphin,fox,giraffe,frog,bear,snail,goat
sheep,monkey,cow,whale,ladybug,tiger,snail,goat,turtle
sheep,bat,ladybug,elephant,cat,horse,hog,rat,tiger
sheep,bat,mouse,butterfly,goldfish,horse,dog,sparrow,spider
sheep,sparrow,bluebird,goldfish,crocodile,ant,snake,duck,owl
hog,cow,dolphin,monkey,butterfly,ladybug,fox,lizard,giraffe
hog,whale,bluebird,monkey,crocodile,elephant,goldfish,cat,lizard
