,Domain,Subject,LL,Model,Best LL
0,texture,BL,-0.5869808838910493,Average,-0.3676829040703866
1,texture,BL,-1.7301738030439127,n-1,-0.3676829040703866
2,texture,EFV,-0.5698606932616227,Average,-0.38880683935622035
3,texture,EFV,-1.4499021180601173,n-1,-0.38880683935622035
4,texture,SJ,-0.47031392252872,Average,-0.2686032330932133
5,texture,SJ,-0.745815019226199,n-1,-0.2686032330932133
6,texture,YCL,-0.4466112091842011,Average,-0.2720760515392031
7,texture,YCL,-0.6367625676138025,n-1,-0.2720760515392031
8,texture,SA,-0.5959197960177264,Average,-0.3750065068874163
9,texture,SA,-1.791078082789503,n-1,-0.3750065068874163
10,texture,JF,-0.6300547031894591,Average,-0.38462451359064265
11,texture,JF,-2.2625134459835867,n-1,-0.38462451359064265
