,Domain,Subject,LL,Model,Best LL
0,word,MC,-0.5464046270404537,Average,-0.2561271046820513
1,word,MC,-0.6118569809614065,n-1,-0.2561271046820513
2,word,BL,-0.6159352161555007,Average,-0.13682541948253454
3,word,BL,-0.8898824506796034,n-1,-0.13682541948253454
4,word,EFV,-1.201773695488825,Average,-0.410835692790991
5,word,EFV,-5.515520316873081,n-1,-0.410835692790991
6,word,SJ,-0.6011322714238935,Average,-0.27584817510955384
7,word,SJ,-0.7265770214615187,n-1,-0.27584817510955384
8,word,SAW,-0.5478677256210162,Average,-0.268386560609194
9,word,SAW,-0.6490732685471277,n-1,-0.268386560609194
10,word,YCL,-0.5402446863657925,Average,-0.26117384320025716
11,word,YCL,-0.6336736974417975,n-1,-0.26117384320025716
12,word,SA,-0.9987358291514145,Average,-0.5071969852881029
13,word,SA,-3.010146527446384,n-1,-0.5071969852881029
14,word,JF,-0.6876502366602235,Average,-0.391447008071955
15,word,JF,-0.8810630053759909,n-1,-0.391447008071955
